job-title,job-description,job-location,job-salary,job-url
Architecte Cloud AWS (H/F) – LYON,"est une société du groupe Insitoo, spécialisée dans le placement et le sourcing des Freelances IT et Métier. Depuis 2007, a su s’imposer comme une référence en matière de freelancing par son expertise dans l’IT et ses valeurs de transparence et de proximité. Actuellement, afin de répondre aux , nous recherchons un Architecte Cloud AWS (H/F) – LYON à Lyon, Auvergne-Rhône-Alpes, France. Fonctionnement sur site à Lyon + 2 jours de télétravail Les missions attendues par le Architecte Cloud AWS (H/F) – LYON sont : Dans le cadre de l’étude des scénarios d’orientation d’une plateforme, nous recherchons un architecte AWS pouvant proposer les choix architectures nécessaire afin de pérenniser la plateforme IoT actuelle. Il est attendu que le candidat recherché : 7 à 8 années d’expérience attendues sur le rôle. • Définit l’architecture technique du SI cible selon les besoins de pérennisation du produit actuel selon les différents scénarios à l’étude : – Scénario de maintien de l’architecture AWS existante à améliorer pour les besoins du projet en bénéficiant des opportunités possibles via les services managés AWS – Scénario de construction d’une architecture AWS pour héberger une solution du marché IoT • Vérifie et analyse les impacts techniques des nouvelles solutions et leur cohérence l’équipe de Infrastructure (DevOps) en place • Réalise les POC et études nécessaires pour valider les choix d’architectures : en cohérence avec les besoins du projet, la faisabilité technique et les coûts) • Rédige et met à jour l’ensemble des livrables d’architectures nécessaires pour spécifier les choix architecturaux/techniques à implémenter ou déjà implémentés • Insuffle les concepts architecturaux à l’ensemble de l’équipe Infrastructure en charge du BUILD et du RUN de l’application actuelle et à venir • Organise et anime (en lien avec le Lead tech du projet) les ateliers de travail avec l’ensemble de l’équipe concernant les choix architecturaux à venir • Valide les stratégies et choix d’architectures avec les entités et interlocuteurs nécessaires (Lead tech, CTO, architectes/urbaniste d’entreprise et les référents cyber-sécurité) à travers les différentes instances nécessaires • S’assure de l’évolution du socle aux vues des choix architecturaux réalisés et du respect des bonnes pratiques en apportant un support aux équipes • S’assure de la non-régression et de la performance : mise en place du socle, support et formation aux équipes en place • Participe à l’animation et les formations d’équipes AWS, Terraform, Ansible, Kubernetes, Helm, Traefik, Jenkins, Vault, Bitbucket, Nexus, Sonar, Datadog, Kafka, Zookeeper, SpringBoot, jOOQ, Maven, PostgreSQL, ElasticSearch, Kibana, Grafana, Gatling, Zipkin, Angular, Cypress, Xamarin – Analyser une veille technique permanente notamment selon son expertise sur le Cloud AWS – Identifier les services managés AWS applicables selon le contexte et les objectifs du projet – Identifier les usages et conditions d’utilisation sur la durée de vie de la solution – Adapter et optimiser les choix architecturaux/techniques selon les évolutions d’objectifs et de contexte – Participer aux instances de validation pour la conformité des solutions adoptés – Anticiper les points de difficultés avec les acteurs projet et réguler les relations selon le contexte – Définir plusieurs options stratégiques, projeter leurs conséquences selon le contexte – Coordonner une vision de l’architecture à moyen terme et être référent expert sur le sujet Compétences techniques et fonctionnelles attendues : – Amazon Web Services – Expert – Indispensable Cette mission vous intéresse? Vous justifiez d’une expérience significative comme Architecte Cloud AWS (H/F) – LYON ? Vous êtes rigoureux, méthodique, organisé et vous savez faire preuve d’autonomie et de réactivité ? Vous êtes à l’aise à l’écrit comme à l’oral ? Vous maîtrisez les périmètres techniques cités avec les niveaux adéquats ? Vous aimez évoluer dans un univers où l’autonomie, la prise d’initiatives, le partage et le travail en équipe sont porteurs de la réussite collective ? Vous pensez que votre profil pourrait correspondre au besoin de notre client ?",Lyon,Selon profil,https://insitoo.com/mission-freelance/architecte-cloud-aws-h-f-lyon/
Tech Lead JAVA (H/F),"est une société du groupe Insitoo, spécialisée dans le placement et le sourcing des Freelances IT et Métier. Depuis 2007, a su s’imposer comme une référence en matière de freelancing par son expertise dans l’IT et ses valeurs de transparence et de proximité. Actuellement, afin de répondre aux , nous recherchons un Tech Lead JAVA (H/F) à Lille et périphérie. Dans le contexte de la livraison dernier kilomètre pour un client basé à Lille (59) dans le secteur du Retail, nous recherchons un Tech Lead JAVA (H/F). Les missions attendues par le Tech Lead JAVA (H/F) sont : – Encadrer l’équipe sur les bonnes pratiques de développements, – Concevoir l’architecture technique de l’application, – Développer les solutions sur la partie back (SCALA et Java), – Accompagner les montées en compétences, – Etre pro-actif sur le traitement de la dette technique, – Challenger le métier sur les besoins et la mise en place des solutions, – Garantir la qualité techniques des applications. En lien avec la communauté technique, vous n’avez pas peur d’aller contacter vos pairs pour appliquer les bonnes pratiques et outils (respect des drivers digitaux de l’entreprise en terme de cyber-securité, de performance, de cloud, d’architecture). Les technologies suivantes feront partie de votre quotidien : – Scala – Java, Spring Boot / WebFlux, SpringBatch, Hibernate / JPA, Reactor – React – Git/Github – Kafka – Docker, Openshift, K8S + Helm – MongoDB – OAuth – Linux – Google Cloud Platform (GKE) – DataStudio Compétences techniques et fonctionnelles attendues : – Agile – Confirmé – Indispensable – Mongo DB – Confirmé – Indispensable – Kafka – Confirmé – Indispensable – Scala – Confirmé – Indispensable – java 17 – Confirmé – Indispensable Cette mission vous intéresse? Vous justifiez d’une expérience significative comme Tech Lead JAVA (H/F) ? Vous êtes rigoureux, méthodique, organisé et vous savez faire preuve d’autonomie et de réactivité ? Vous êtes à l’aise à l’écrit comme à l’oral ? Vous maîtrisez les périmètres techniques cités avec les niveaux adéquats ? Vous aimez évoluer dans un univers où l’autonomie, la prise d’initiatives, le partage et le travail en équipe sont porteurs de la réussite collective ? Vous pensez que votre profil pourrait correspondre au besoin de notre client ?",Lille et périphérie,Selon profil,https://insitoo.com/mission-freelance/tech-lead-java-h-f-23/
Lead dév (H/F),"est une société du groupe Insitoo, spécialisée dans le placement et le sourcing des Freelances IT et Métier. Depuis 2007, a su s’imposer comme une référence en matière de freelancing par son expertise dans l’IT et ses valeurs de transparence et de proximité. Actuellement, afin de répondre aux , nous recherchons un Lead dév (H/F) à Lille, Hauts-de-France, France. Les missions attendues par le Lead dév (H/F) sont : Vous interviendrez au sein d’une équipe composée de 2 développeurs, 1 tech lead et 1 product manager, dans un cadre bienveillant et centré sur l’humain (collaborateurs comme utilisateurs). Votre rôle sera clé dans l’accompagnement des équipes de développeurs, du Product Owner et du tech lead pour garantir la qualité de nos applicatifs et un bon niveau de delivery. Vous devez avoir une très bonne expérience en Java et de bonnes capacités à accompagner sur du cadrage IT. Vous serez aussi très souvent en contact avec les autres Tech lead et lead dev. Des compétences en nodejs et en vue.js sont un plus pour accompagner le collectif sur les composants communs aux domaines. Vos tâches principales seront : – Développement back-end Java et éventuellement front-end Vuejs – Définition et mise en oeuvre des APIs en collaboration avec les dev front – Cadrage technique en soutien du Tech lead – Maintenance de la CICD et des outils de déploiement – Mise en place du monitoring applicatifs et des alertes correspondant sur Datadog – Rédaction et mise à jour de la documentation technique – Tests unitaires et fonctionnels automatisés – Respect de l’état de l’art en matière de cyber-sécurité, performance et qualité du code Compétences techniques et fonctionnelles attendues : – Java – Expert – Indispensable – Vue.js – Confirmé – Indispensable – Anglais – Expert – Indispensable – JavaScript – Expert – Indispensable Cette mission vous intéresse? Vous justifiez d’une expérience significative comme Lead dév (H/F) ? Vous êtes rigoureux, méthodique, organisé et vous savez faire preuve d’autonomie et de réactivité ? Vous êtes à l’aise à l’écrit comme à l’oral ? Vous maîtrisez les périmètres techniques cités avec les niveaux adéquats ? Vous aimez évoluer dans un univers où l’autonomie, la prise d’initiatives, le partage et le travail en équipe sont porteurs de la réussite collective ? Vous pensez que votre profil pourrait correspondre au besoin de notre client ?",Lille,Selon profil,https://insitoo.com/mission-freelance/lead-dev-h-f-15/
Manager de transition Cybersécurité (H/F),"est une société du groupe Insitoo, spécialisée dans le placement et le sourcing des Freelances IT et Métier. Depuis 2007, a su s’imposer comme une référence en matière de freelancing par son expertise dans l’IT et ses valeurs de transparence et de proximité. Actuellement, afin de répondre aux , nous recherchons un Manager de transition Cybersécurité (H/F) à Lille, Hauts-de-France, France. Les missions attendues par le Manager de transition Cybersécurité (H/F) sont : Compétences techniques et fonctionnelles attendues : – Gestion budgétaire – Confirmé – Indispensable – Gestion des incidents de cybersécurité – Confirmé – Indispensable – Management – Confirmé – Indispensable – SOC – EDR – CTI – Confirmé – Indispensable Cette mission vous intéresse? Vous justifiez d’une expérience significative comme Manager de transition Cybersécurité (H/F) ? Vous êtes rigoureux, méthodique, organisé et vous savez faire preuve d’autonomie et de réactivité ? Vous êtes à l’aise à l’écrit comme à l’oral ? Vous maîtrisez les périmètres techniques cités avec les niveaux adéquats ? Vous aimez évoluer dans un univers où l’autonomie, la prise d’initiatives, le partage et le travail en équipe sont porteurs de la réussite collective ? Vous pensez que votre profil pourrait correspondre au besoin de notre client ?",Lille,Selon profil,https://insitoo.com/mission-freelance/manager-de-transition-cybersecurite-h-f/
Coach DevOps (H/F),"est une société du groupe Insitoo, spécialisée dans le placement et le sourcing des Freelances IT et Métier. Depuis 2007, a su s’imposer comme une référence en matière de freelancing par son expertise dans l’IT et ses valeurs de transparence et de proximité. Actuellement, afin de répondre aux , nous recherchons un Coach DevOps (H/F) à Lyon et périphérie. Les missions attendues par le Coach DevOps (H/F) sont : Nous recherchons idéalement un profil Tech Lead voire Architecte. Capacité à accompagner / édicter une politique et la décliner en un cahier des charges pour une chaîne DevOps et des pratiques pour les développeurs. Les compétences de communication et de savoir être sont donc essentielles Compétences techniques et fonctionnelles attendues : – DevOps – Confirmé – Indispensable Cette mission vous intéresse? Vous justifiez d’une expérience significative comme Coach DevOps (H/F) ? Vous êtes rigoureux, méthodique, organisé et vous savez faire preuve d’autonomie et de réactivité ? Vous êtes à l’aise à l’écrit comme à l’oral ? Vous maîtrisez les périmètres techniques cités avec les niveaux adéquats ? Vous aimez évoluer dans un univers où l’autonomie, la prise d’initiatives, le partage et le travail en équipe sont porteurs de la réussite collective ? Vous pensez que votre profil pourrait correspondre au besoin de notre client ?",Lyon et périphérie,Selon profil,https://insitoo.com/mission-freelance/coach-devops-h-f/
Consultant Cybersécurité (H/F),"est une société du groupe Insitoo, spécialisée dans le placement et le sourcing des Freelances IT et Métier. Depuis 2007, a su s’imposer comme une référence en matière de freelancing par son expertise dans l’IT et ses valeurs de transparence et de proximité. Actuellement, afin de répondre aux , nous recherchons un Consultant Cybersécurité (H/F) à Lyon et périphérie. Les missions attendues par le Consultant Cybersécurité (H/F) sont : Votre mission au sein de l’équipe cyber sécurité sera de soutenir l’équipe dans les domaines suivants : Compétences techniques et fonctionnelles attendues : – Anglais – Confirmé – Indispensable – Cybersécurité – Confirmé – Indispensable Cette mission vous intéresse? Vous justifiez d’une expérience significative comme Consultant Cybersécurité (H/F) ? Vous êtes rigoureux, méthodique, organisé et vous savez faire preuve d’autonomie et de réactivité ? Vous êtes à l’aise à l’écrit comme à l’oral ? Vous maîtrisez les périmètres techniques cités avec les niveaux adéquats ? Vous aimez évoluer dans un univers où l’autonomie, la prise d’initiatives, le partage et le travail en équipe sont porteurs de la réussite collective ? Vous pensez que votre profil pourrait correspondre au besoin de notre client ?",Lyon et périphérie,Selon profil,https://insitoo.com/mission-freelance/consultant-cybersecurite-h-f-9/
Consultant cybersecurité opérationnelle (H/F),"est une société du groupe Insitoo, spécialisée dans le placement et le sourcing des Freelances IT et Métier. Depuis 2007, a su s’imposer comme une référence en matière de freelancing par son expertise dans l’IT et ses valeurs de transparence et de proximité. Actuellement, afin de répondre aux , nous recherchons un Consultant cybersecurité opérationnelle (H/F) à Lille, Hauts-de-France, France. Les missions attendues par le Consultant cybersecurité opérationnelle (H/F) sont : -Assurer le bon fonctionnement des environnements en maintenant les KPIs de sécurité. -Assurer le rôle de référent dans la formalisation puis la réalisation d’un plan de remédiation. -Assurer que les composants sont bien en adéquation avec les standard du marché (gestion de l’obsolescence, patch management, gestion des vulnérabilités…). -Contribuer à la planification et au suivi du déploiement des patchs urgents si nécessaire,  en fonction des alertes et des failles parues. Compétences techniques et fonctionnelles attendues : – gestion des vulnérabilités – Confirmé – Indispensable – Anglais professionnel  – Confirmé – Indispensable – Sécurité Opérationnelle – Confirmé – Indispensable – GCP  – Confirmé – Indispensable Cette mission vous intéresse? Vous justifiez d’une expérience significative comme Consultant cybersecurité opérationnelle (H/F) ? Vous êtes rigoureux, méthodique, organisé et vous savez faire preuve d’autonomie et de réactivité ? Vous êtes à l’aise à l’écrit comme à l’oral ? Vous maîtrisez les périmètres techniques cités avec les niveaux adéquats ? Vous aimez évoluer dans un univers où l’autonomie, la prise d’initiatives, le partage et le travail en équipe sont porteurs de la réussite collective ? Vous pensez que votre profil pourrait correspondre au besoin de notre client ?",Lille,Selon profil,https://insitoo.com/mission-freelance/consultant-cybersecurite-operationnelle-h-f-8/
Architecte Cybersécurité (H/F),"est une société du groupe Insitoo, spécialisée dans le placement et le sourcing des Freelances IT et Métier. Depuis 2007, a su s’imposer comme une référence en matière de freelancing par son expertise dans l’IT et ses valeurs de transparence et de proximité. Actuellement, afin de répondre aux , nous recherchons un Architecte Cybersécurité (H/F) à Lyon, Auvergne-Rhône-Alpes, France. Fonctionnement : sur site à Lyon + site Les missions attendues par le Architecte Cybersécurité (H/F) : Le descriptif : Œuvrant au sein de la Direction des Systèmes d’Information et sous la responsabilité du Responsable de Service Architecture et Sécurité, vous collaborerez avec une équipe pluridisciplinaire de 6 architectes. À la suite d’un départ, nous recherchons une prestation d’architecte sécurité pour produire les livrables des activités en cours, ainsi que maintenir la compétence sécurité en attendant le recrutement d’un Architecte Sécurité en CDI. Pour mener à bien vos missions vous serez en relation étroite avec la cellule SecOps ainsi que les équipes projets L’architecte sécurité des SI s’assure que les choix techniques et technologiques des projets IT et métiers respectent les exigences de sécurité de l’organisation. Il est le référent technique sur le volet sécurité et cyber sécurité des architectures, il définit et maintient les modèles de sécurité de référence. L’architecte sécurité travaillera en étroite collaboration avec l’ensemble des équipes (dans un contexte de transformation opérationnelle de la DSI vers le mode Agile) afin de valider que les besoins et solutions techniques projets se fassent dans le respect des règles de sécurité. ➢ Concevoir l’architecture cible, afin de répondre aux besoins, enjeux et contraintes en adéquation de la PSSI ➢ Proposer des solutions en adéquation avec la stratégie de sécurité règlementée par le groupe Crédit Agricole. ➢ FOCUS : Garantir la réalisation des tests techniques afin de vérifier que les fonctions de sécurité atteignent le niveau requis de robustesse en adéquation avec la cible de sécurité et le niveau d’exigence requise ➢ Etablir des recommandations à destination de l’équipe SecOps ➢ FOCUS : Faire preuve de pédagogie pour accompagner les squads dans la remédiation ➢ Décliner les modèles de référence de sécurité pour les architectures du SI et transposer les politiques et standards de sécurité opérationnels du groupe Crédit Agricole. ➢ FOCUS : Elaborer et assurer le suivi des plans de mise en œuvre opérationnelle de la sécurité ➢ Contribuer et coordonner les aspects techniques des projets sécurité ➢ Participer au Comité de Sécurité Opérationnel de l’entreprise ➢ FOCUS : Contribuer au traitement des incidents SSI selon la criticité ➢ Assurer un volet de partage de connaissances auprès des collaborateurs et des acteurs opérationnels sur les problématiques de SSI ➢ Conseiller, sensibiliser et assister les collaborateurs, les chefs de projets et les acteurs opérationnels sur des problématiques de SSI ➢ FOCUS : Documenter les processus de mise en œuvre, de mise à jour et d’exploitation des composants de sécurité ➢ Pratiquer une veille sur les aspects de sécurité des architectures, en particulier vis-à[1]vis des découvertes de vulnérabilité ➢ FOCUS : Mettre en œuvre les contrôles permanents de niveau 1 et 2.1, définis comme étant à sa charge dans le plan de contrôle établi par le CISO et rendre compte des résultats au CISO de l’entreprise ➢ FOCUS : Validation de Demande d’Ouverture de Flux (DOF) pour tous les projets notamment projet de déménagement DC ; ➢ Travailler en étroite collaboration et de manière complémentaire avec le CISO de l’entreprise Livrable : ➢ DAT, Cartographie applicative, flux et infrastructure, Note de Recommandations, Dossier d’Etude de choix Compétences techniques : ➢ Expérience en architecture technique ➢ Maitrise des environnements Linux, Windows, Active Directory ➢ Compétences TCP/IP, Routage, Filtrage, VPN et outils de détection ➢ Bonne connaissance des environnements Virtualisation et Conteneurisation ➢ Bonne connaissance des architectures Web distribuée (reverse proxy, serveur web, load-balancer, serveur d’application type Tomcat, WAF) ➢ Connaissance des solutions de supervision SIEM et d’outils de cent Compétences techniques et fonctionnelles attendues : Cette mission vous intéresse? Vous justifiez d’une expérience significative comme Architecte Cybersécurité (H/F) ? Vous êtes rigoureux, méthodique, organisé et vous savez faire preuve d’autonomie et de réactivité ? Vous êtes à l’aise à l’écrit comme à l’oral ? Vous maîtrisez les périmètres techniques cités avec les niveaux adéquats ? Vous aimez évoluer dans un univers où l’autonomie, la prise d’initiatives, le partage et le travail en équipe sont porteurs de la réussite collective ? Vous pensez que votre profil pourrait correspondre au besoin de notre client ?",Lyon,Selon profil,https://insitoo.com/mission-freelance/architecte-cybersecurite-h-f-2/
Consultant Cyber Sécurité opérationnelle H/F,"est une société du groupe Insitoo, spécialisée dans le placement et le sourcing des Freelances IT et Métier. Depuis 2007, a su s’imposer comme une référence en matière de freelancing par son expertise dans l’IT et ses valeurs de transparence et de proximité. Actuellement, afin de répondre aux , nous recherchons un Consultant Cyber Sécurité opérationnelle H/F à Lille et périphérie. Contexte : La direction Cybersécurité est en charge de l’accompagnement des équipes digitales dans le maintien en condition de sécurité de ses produits digitaux existant et dans la création « Secure by design » des produits digitaux à venir. Dans ce cadre, nous recherchons un responsable cybersécurité des produits digitaux qui aura comme responsabilités propres : – Définir la stratégie de sécurisation des produits digitaux Lde l’enseigne – Ordonnancer les roadmaps cybersécurité produit – Coordonner les actions identifiées sur les produits avec les Cyber Experts, Responsables de plan de traitement & Directions – Alerter et résoudre les risques de non atteinte des objectifs de maturité sécurité des produits – Animer les directions IT sur leur roadmap cybersécurité – Renseigner le dashboard global cybersécurité Les missions attendues par le Consultant Cyber Sécurité opérationnelle H/F sont : Il aura du succès si il/elle : – Mesure et fait progresser le niveau de sécurité des produits, selon les priorités établies (produits critiques > produits sensibles > produits non sensibles mais exposés sur Internet >produits non sensibles) – Prend de la hauteur et fixe le bon niveau de priorité aux cyber experts & Directions – Obtient le sponsorship des Directions et assure une proximité avec elles, pour obtenir leur engagement sur la réalisation des actions – Travaille de concert et rend compte aux RSSI, Responsables Pilote des plans de traitements & cyberdéfense et Directeurs des progrès et difficultés sur l’animation sécurité des produits Il/Elle échouera si : – Les cyber experts et Directions n’identifient pas/ne comprennent pas les priorités à adresser – “Sur-priorise” (priorités fixées trop nombreuses et donc non tenables par les cyber experts et directions) – Manque de communication avec les Directions, RSSI et Responsables de plan de traitement – A une version court-termiste, ne se projette pas sur les sujets/priorités de demain Localisation : Lille et périphérie (59) Durée : 1 an Compétences techniques et fonctionnelles attendues : – ISP – Confirmé – Indispensable – Cybersécurité opérationnelle  – Confirmé – Indispensable – SMSI – Confirmé – Indispensable Cette mission vous intéresse? Vous justifiez d’une expérience significative comme Consultant Cyber Sécurité opérationnelle H/F ? Vous êtes rigoureux, méthodique, organisé et vous savez faire preuve d’autonomie et de réactivité ? Vous êtes à l’aise à l’écrit comme à l’oral ? Vous maîtrisez les périmètres techniques cités avec les niveaux adéquats ? Vous aimez évoluer dans un univers où l’autonomie, la prise d’initiatives, le partage et le travail en équipe sont porteurs de la réussite collective ? Vous pensez que votre profil pourrait correspondre au besoin de notre client ?",Lille et périphérie,Selon profil,https://insitoo.com/mission-freelance/consultant-cyber-securite-operationnelle-h-f/
Architecte Cybersécurité (H/F),"est une société du groupe Insitoo, spécialisée dans le placement et le sourcing des Freelances IT et Métier. Depuis 2007, a su s’imposer comme une référence en matière de freelancing par son expertise dans l’IT et ses valeurs de transparence et de proximité. Actuellement, afin de répondre aux , nous recherchons un Architecte Cybersécurité (H/F) à Lyon, Auvergne-Rhône-Alpes, France. Les missions attendues par le Architecte Cybersécurité (H/F) sont : Expert cyber sécurité en renfort temporaire pour l’équipe Sécurité pour une task force technique sur S2 2023. o  Réalisation de tests et recettes de sécurité sur des environnements hétérogènes o  Force de proposition sur des points techniques liés à la cyber sécurité o  Force de proposition pour l’évolution des outils de tests et de suivi o  Intervention auprès des usines de développements pour recadrer des besoins de sécurité en cas de nécessité o  Remonté d’alerte en cas d’identification de vulnérabilités importantes Red Hat Openstack, Red Hat Virtualization, Docker, Podman, Cisco ACI, UCS, Jenkins, Ansible, Bitbucket, OpenLDAP, WebSSO (SAML, OpenID, OAuth), Hashicorp Vault, RHEL, Cloud Public / Privé / Hybride (IaaS, PaaS, SaaS), Tomcat, Spring Boot, Apache HTTPD / HAProxy, Architectures distribuées (WS, JMS, Kafka, …), SGBD (Oracle / Postgres), IGC (PKI) / HSM, SecDevOps, Euridis, DLMS/COSEM, CPL G1 et G3, IKE, IPSEC, TLS, PKCS#11, OpenSSL, Java, Javascript, MySQL, C#, SpringBoot, Oracle Weblogic, Oracle Database, Nginx, JBoss, Syslog, Scripting shell, Annuaires LDAP, Windows Server, Git, Sonar Cube, JIRA, SCADA, IEC 62351, IEC 62443, IEC 61850, EBIOS 2010 / RM ·  Très bonne connaissance des principes de sécurisation des applications (web ou client lourd), de leur middleware et des référentiels afférents (ex : OWASP, guides de l’ANSSI, …). ·  Très bonne connaissance des systèmes et réseaux et des méthodes visant à les sécuriser (chiffrement symétrique et asymétrique, authentification, intégrité, TLS, IGC, VPN). ·  Bonne connaissance de l’état de l’art en termes de gestion des secrets d’un système d’information complexe (audits, habilitations, mots de passe partagés, astreintes, DevOps, intégration continue, …). ·  Connaissance des processus et des outils de développement (ex : JAVA, C#, Python, etc.) ·  Grande capacité à appréhender rapidement des sujets nouveaux ·  Expérience dans la gestion et la réalisation de tests de sécurité ·  Bonnes qualités rédactionnelles Compétences techniques et fonctionnelles attendues : Cette mission vous intéresse? Vous justifiez d’une expérience significative comme Architecte Cybersécurité (H/F) ? Vous êtes rigoureux, méthodique, organisé et vous savez faire preuve d’autonomie et de réactivité ? Vous êtes à l’aise à l’écrit comme à l’oral ? Vous maîtrisez les périmètres techniques cités avec les niveaux adéquats ? Vous aimez évoluer dans un univers où l’autonomie, la prise d’initiatives, le partage et le travail en équipe sont porteurs de la réussite collective ? Vous pensez que votre profil pourrait correspondre au besoin de notre client ?",Lyon,650 €/j,https://insitoo.com/mission-freelance/architecte-cybersecurite-h-f/
