job-title,job-description,job-location,job-salary,job-url
"
      Profil Expert SOC et CERT - N3
    ","CONTEXTE Objectif global : Développer l’activité SOC Fraude MISSIONS : Assurer la détection et l’analyse des flux et comportements atypiques au sein du SI (portant sur le périmètre Applicatif ou Infrastructure), en disposant d’une expertise Cybersécurité et Fraude - Piloter la remédiation des incidents - Contribuer à la veille réglementaire (Sécurité, Protection des données personnelles, Lutte contre la fraude) Description actuelle du projet Dans le cadre du développement du SOC , celui-ci souhaite lancer un appel à prestation pour une mission d’assistance en cybersécurité N2, principalement sur la lutte contre la fraude. Intégré au sein du SOC , cette mission portera principalement sur les activités suivantes : - Détection, qualification et analyse des incidents de sécurité infrastructures, applicatifs et fraude - Pilotage des plans de réponse à incident - Suivi des plans de remédiation - Mise en place de scénario de détection et du traitement des alertes associées - Amélioration et mise en place de playbook d’automatisation Le profil pour cette mission supposera : - Une expérience de 2 ans minimum en cybersécurité - Une expérience opérationnelle en SOC est souhaitable - Une bonne capacité de communication, d’analyse et de synthèse - Capacité à travailler avec rigueur et en équipe - Connaissance Splunk impérative - Connaissance en développement PHP et Python Définition du profil : Assurer la détection et l’analyse des flux et comportements atypiques au sein du SI (portant sur le périmètre Applicatif ou Infrastructure), en disposant d’une expertise Cybersécurité et Fraude - Piloter la remédiation des incidents - Contribuer à la veille réglementaire (Sécurité, Protection des données personnelles, Lutte contre la fraude). Compétences techniques : Analyste SOC Cyber sécurité - Confirmé - Impératif SIEM (Splunk) - Confirmé - Important Elastic - Confirmé - Important TheHive - Confirmé Souhaitable Connaissances linguistiques : Français Courant (Impératif) Anglais Professionnel Professionnel (Impératif) Crée en 2008, Kéoni Consulting est une société de conseil et d’ingénierie informatique spécialisée dans le secteur de la banque, de la finance de marché, et de l’assurance, et de l’industrie. Nous sommes le partenaire dans la transformation digitale des grands Comptes. Nous les aidons à transformer leur modèle économique, aligner vos processus opérationnels, sélectionner les meilleures technologies, atténuer et palier les risques liés au digital. Kéoni Consulting aide les entreprises à: Faire la différence Innover et créer Réinventer votre business Satisfaire les clients Gagner en avantages compétitifs Devenir le leader de leur secteur Devenir le leader de votre secteur Notre activité couvre la totalité du cycle de vie des systèmes d’informations (Pilotage et Gestion de projet, Conseil en MOA, Conception, Réalisation, Maintenance, Production Exploitation)","Lyon, Auvergne-Rhône-Alpes",500 €⁄j,https://www.free-work.com/fr/tech-it/expert/job-mission/profil-expert-soc-et-cert-n3
"
      Expert Cybersécurité – Soc et CERT 
    ","Objectif global : Développer l’activité SOC Fraude Contrainte forte du projet – Le livrable est – Compétences techniques Analyste SOC Cyber sécurité – Confirmé – Impératif SIEM (Splunk) – Confirmé – Important Elastic – Confirmé – Important TheHive – Confirmé – Souhaitable Connaissances linguistiques Français Courant (Impératif) Anglais Professionnel Professionnel (Impératif) Description détaillée Assurer la détection et l’analyse des flux et comportements atypiques au sein du SI (portant sur le périmètre Applicatif ou Infrastructure), en disposant d’une expertise Cybersécurité et Fraude – Piloter la remédiation des incidents – Contribuer à la veille réglementaire (Sécurité, Protection des données personnelles, Lutte contre la fraude) Description actuelle du projet Dans le cadre du développement du SOC , celui-ci souhaite lancer un appel à prestation pour une mission d’assistance en cybersécurité N2, principalement sur la lutte contre la fraude. Intégré au sein du SOC , cette mission portera principalement sur les activités suivantes : – Détection, qualification et analyse des incidents de sécurité infrastructures, applicatifs et fraude – Pilotage des plans de réponse à incident – Suivi des plans de remédiation – Mise en place de scénario de détection et du traitement des alertes associées – Amélioration et mise en place de playbook d’automatisation Cette mission d’assistance débutera en mai 2023. En raison des contraintes réglementaires applicables à l’environnement  SOC  être ressortissant de l’Union Européenne est indispensable à la réalisation de cette mission. Le profil pour cette mission supposera : – Une expérience de 2 ans minimum en cybersécurité – Une expérience opérationnelle en SOC est souhaitable – Une bonne capacité de communication, d’analyse et de synthèse – Capacité à travailler avec rigueur et en équipe – Connaissance Splunk impérative – Connaissance en développement PHP et Python Localisation de la mission : Lyon Définition du profil: Assurer la détection et l’analyse des flux et comportements atypiques au sein du SI (portant sur le périmètre Applicatif ou Infrastructure), en disposant d’une expertise Cybersécurité et Fraude – Piloter la remédiation des incidents – Contribuer à la veille réglementaire (Sécurité, Protection des données personnelles, Lutte contre la fraude) En raison des contraintes réglementaires applicables à l’environnement  SOC  être ressortissant de l’Union Européenne est indispensable à la réalisation de cette mission. Le profil pour cette mission supposera : – Une expérience de 2 ans minimum en cybersécurité – Une expérience opérationnelle en SOC est souhaitable – Une bonne capacité de communication, d’analyse et de synthèse – Capacité à travailler avec rigueur et en équipe – Connaissance Splunk impérative – Connaissance en développement PHP et Python Localisation de la mission : Lyon Définition du profil: Assurer la détection et l’analyse des flux et comportements atypiques au sein du SI (portant sur le périmètre Applicatif ou Infrastructure), en disposant d’une expertise Cybersécurité et Fraude – Piloter la remédiation des incidents – Contribuer à la veille réglementaire (Sécurité, Protection des données personnelles, Lutte contre la fraude)","Lyon, Auvergne-Rhône-Alpes","50k-55k €⁄an, 500-520 €⁄j",https://www.free-work.com/fr/tech-it/ingenieur-en-cybersecurite/job-mission/expert-cybersecurite-soc-et-cert
"
      Consultant SOC (H/F)
    ","👌 CITECH recrute ! 👌 ✨ Si vous souhaitez apporter vos compétences dans la réalisation d’un projet important, nous avons LA mission pour vous ! Nous recherchons en effet un(e) Consultant SOC (H/F) 🚀 💰 Votre mission est pour un client reconnu dans le secteur bancaire, implanté dans de nombreuses villes en France, il a pour objectif d'accélérer sa transformation digitale afin d'offrir toujours plus de solutions et de services innovants. 💳 🙌🔽 Vous aurez donc les missions principales suivantes : 🔽🙌 🔸 Détection, qualification et analyse des incidents de sécurité infrastructures, applicatifs et fraude 🔸 Pilotage des plans de réponse à incident 🔸 Suivi des plans de remédiation 🔸 Mise en place de scénario de détection et du traitement des alertes associées 🔸 Amélioration et mise en place de playbook d'automatisation 🎓 Issu d’une formation en ingénierie ou en informatique, vous avez une expérience significative sur un poste similaire. ⚙️ L’environnement technique à maîtriser est le suivant : ✔️ Vous avez déjà eu une expérience en Cybersécurité. ✔️ Vous maîtrisez SIEM (Splunk), Elastic et The Hive. ✔️ Une expérience opérationnelle en SOC est souhaitée. ✔️ Vous avez un niveau d’anglais technique. ☑️ Passionné(e) d'informatique, vous êtes créatif (ve), curieux (se), motivé(e) et avez le sens du travail en équipe. ☑️ Tous nos postes sont ouverts aux personnes possédant le statut RQTH. 👌 CITECH recrute ! 👌 ✨ Si vous souhaitez apporter vos compétences dans la réalisation d’un projet important, nous avons LA mission pour vous ! Nous recherchons en effet un(e) Consultant SOC (H/F) 🚀 💰 Votre mission est pour un client reconnu dans le secteur bancaire, implanté dans de nombreuses villes en France, il a pour objectif d'accélérer sa transformation digitale afin d'offrir toujours plus de solutions et de services innovants. 💳","Lyon, Auvergne-Rhône-Alpes","70k-80k €⁄an, 500-550 €⁄j",https://www.free-work.com/fr/tech-it/consultant/job-mission/consultant-soc-h-f-8
"
      Intégrateur SOC Splunk
    ","Projet: Concevoir et mettre en place un SOC industriel complet. Mots clés: Intégrateur SOC, Sécurité, Surveillance, Détection d'intrusion, Gestion des incidents. Responsabilités Principales: Concevoir et définir l'architecture du SOC (Security Operations Center) en collaboration avec les équipes concernées. Mettre en place les flux de logs pour assurer la collecte et le stockage des données pertinentes. Développer et configurer l'infrastructure du SOC, y compris les outils de détection d'intrusion (IPS/IDS). Gérer les interconnexions avec les systèmes internes et externes pour garantir une visibilité complète des activités. Définir et mettre en œuvre les règles de détection pour identifier les comportements suspects ou les menaces potentielles. Élaborer les règles de réaction et les procédures d'intervention en cas d'incident de sécurité. Compétences Requises: Expérience dans la conception et la mise en place de SOC. Expertise dans l'utilisation des outils de gestion des logs, en particulier Splunk (Must have). Connaissance des systèmes de détection d'intrusion (IDS/IPS) et des sondes de sécurité. Capacité à élaborer des architectures sécurisées et à gérer les interconnexions entre différents systèmes. Maîtrise des règles de détection et de réaction pour anticiper et répondre aux menaces. Compétences Souhaitables: Expérience avec d'autres solutions de gestion des logs comme Cislog (Nice to have). Durée de la Mission: Mission longue durée, entre 1,5 et 3 ans, pour assurer la mise en place complète et le bon fonctionnement du SOC industriel. Mission à Paris","Île-de-France, France",100-660 €⁄j,https://www.free-work.com/fr/tech-it/developpeur-salesforce/job-mission/integrateur-soc-splunk
"
      Analyst SOC
    ","Je recherche des consultants pour deux rôles d'analyste SOC. A paris et à lyon. Bon niveau d'anglais attendu Mission : Amélioration de la détection via le SIEM, Amélioration de l’automatisation via le SOAR ; MCO des plateformes SIEM/SOAR ( première qualification, troubleshooting) Techno : SIEM Logpoint, XSOAR Palo Alto Mission : Gestion d’incident issue du SIEM ou de l’EDR + Projet interne d’amélioration du service de détection d’incidents de sécurité : SIEM , EDR ( Sentinel One ), CTI, SOAR J e reste disponible pour toute information supplémentaire, SOC Analyst avec au minimum 3 ans d'experience . Ayant un bon niveau d'anglais Avec un télétravail partiel possible Pour 2 rôles : Techno : SIEM, EDR (Sentinel One), CTI, SOAR // Techno : SIEM Logpoint, XSOAR Palo Alto Il s'agit de deux entreprises de très grande taille l'une française l'aute multinationale. Ce sont 2 équipes qui recherche un renfort vous intégrez en tant que SOC Analyst confirmé","Paris, France",100-540 €⁄j,https://www.free-work.com/fr/tech-it/analyste/job-mission/analyst-soc-5
"
      Analyst SOC (H/F)
    ","Espace-Freelance, réseau de consultants indépendants, recherche pour l’un de ses clients directs : Analyst SOC (H/F) Mission à pourvoir près de Lyon Présence sur site : 3 jours / semaine Compétences obligatoires : -       Analyse SOC Cyber sécurité -       Splunk -       SIEM -       Elastic -       TheHive Vous savez communiquer en anglais dans un contexte professionnel Votre mission : -       Vous identifiez des incidents de sécurité afin de les qualifier et de les étudier par la suite -       Vous réalisez un plan de réponse à incident -       Vous suivez des plans de remédiation -       Vous mettez en place des scénarios de détection et traitement des alertes -       Vous participez à la veille réglementaire Vous avez de l’expérience sur un poste similaire REFERENCE : EFL/MBAB/ANSOC Vous avez de l’expérience en cybersécurité et si possible une expérience opérationnelle en SOC Vous êtes un bon communicant et vous savez synthétiser votre pensée Vous travaillez dans un environnement technique comprenant Splunk, PHP et Python Vous êtes prêt à vous déplacer sur le site se trouvant à Lyon au moins 3 jours par semaine","Lyon, Auvergne-Rhône-Alpes",100-520 €⁄j,https://www.free-work.com/fr/tech-it/analyste/job-mission/analyst-soc-h-f-2
"
      Consultant Assistance en Ingénierie réseaux et sécurité
    ","Contexte de la mission : Définir des architectures redondées et mettre en place des nouveaux réseaux dans un environnement complexe. MISSIONS Installation physique des matériels Configuration des clusters Palo Alto. Configuration des règles sur les pare-feu Configuration des environnements Cisco DCNM Configuration des clusters Cisco VPC Maitrise des protocoles BGP et OSPF Maitrise des flux Video multicast Recette des environnements Rédaction des documentations Transfert de connaissance aux équipes Ingénierie et Support Migration des environnements identifiés sur la nouvelle architecture réseau Interventions en HO et HNO Livrables : Document d’architecture technique Procédures techniques Cahier de recette Contexte de la mission : Définir des architectures redondées et mettre en place des nouveaux réseaux dans un environnement complexe. MISSIONS Installation physique des matériels Configuration des clusters Palo Alto. Configuration des règles sur les pare-feu Configuration des environnements Cisco DCNM Configuration des clusters Cisco VPC Maitrise des protocoles BGP et OSPF Maitrise des flux Video multicast Recette des environnements Rédaction des documentations Transfert de connaissance aux équipes Ingénierie et Support Migration des environnements identifiés sur la nouvelle architecture réseau Interventions en HO et HNO Crée en 2008, Kéoni Consulting est une société de conseil et d’ingénierie informatique spécialisée dans le secteur de la banque, de la finance de marché, et de l’assurance, et de l’industrie. Nous sommes le partenaire dans la transformation digitale des grands Comptes. Nous les aidons à transformer leur modèle économique, aligner vos processus opérationnels, sélectionner les meilleures technologies, atténuer et palier les risques liés au digital. Kéoni Consulting aide les entreprises à: Faire la différence Innover et créer Réinventer votre business Satisfaire les clients Gagner en avantages compétitifs Devenir le leader de leur secteur Devenir le leader de votre secteur Notre activité couvre la totalité du cycle de vie des systèmes d’informations (Pilotage et Gestion de projet, Conseil en MOA, Conception, Réalisation, Maintenance, Production Exploitation)","Paris, France",450 €⁄j,https://www.free-work.com/fr/tech-it/consultant-securite-et-reseaux/job-mission/consultant-assistance-en-ingenierie-reseaux-et-securite
"
      Ingenieur Reseau
    ","Résumé : - Ingénieur réseau - 4-5 jours sur site à Lyon - Contrat de 6 mois renouvelable - Début mars/avril Rôle : - Administrer et superviser les infrastructures réseaux ; - Définir les schémas d’architecture réseau, en accord avec les standards de l’entreprise, - Traiter les alertes, les demandes et les escalades ; - Superviser et animer l’équipe réseau L1 - Appliquer et maintenir à jour les procédures d’installation et d’intervention ; - Diagnostiquer, résoudre et documenter les incidents (helpdesk, fiches d’incidents, base de connaissances, etc ;) - Appliquer les normes et les politiques de sécurité ; - Fournir un support et une assistance technique aux autres départements du service informatique ; - Rédiger une documentation technique sur le périmètre d’intervention ; - Participer à l’astreinte ; - Contribuer au développement des échanges avec les autres entités informatiques du groupe ; - Assurer un reporting régulier et formalisé de l’activité. Exigences : - Minimum Bac+2 ou formation +3 en informatique ; - Minimum de 2 ans d’expérience dans l’administration de réseaux et la surveillance d’infrastructures informatiques ; - Maîtrise de la gestion et de la supervision des réseaux LAN (notamment les switchs HP Aruba et les firewalls Checkpoint), WiFi (notamment les bornes et contrôleurs de sécurité Extreme Network + WPA) et WAN ; - Bonne connaissance des outils et technologies en place sur les infrastructures : Windows Server 2008/2012, Linux, AD, Citrix, VMWare, Script (VB, Perl, Powershell, Shell...), Backup (Netbackup), Hardware Server (HP, DELL) ; - Connaissances : Solutions de stockage SAN, Anti-Virus (McAfee), Centreon, Kaseya etc. - Un niveau professionnel d’anglais est indispensable. Trackers de talents spécialisés reliant les meilleurs talents sur les marchés Français, Suisse et Belge. Les consultants Glocomm ont des consultants experts alignés sur les cinq domaines techniques ci-dessous: - Cloud et infrastructure - ERP / CRM - Développement de logiciels - Intelligence d’affaires et analyse de données volumineuses - Sécurité Glocomms est la division informatique de Phaidon International, une agence mondiale de recrutement de spécialistes","Lyon, Auvergne-Rhône-Alpes",400-550 €⁄j,https://www.free-work.com/fr/tech-it/architecte-systeme/job-mission/ingenieur-reseau-395
"
      Coordinateur Technique Réseaux Sécurité
    ","Aperçu du poste : Nous recherchons un chef de projet technique talentueux possédant une vaste expérience dans les technologies de réseau Cisco, Fortinet, Palo Alto et F5. Le candidat idéal sera responsable de la gestion et de la supervision des projets d’infrastructure de réseau du début à la fin, en veillant à ce qu’ils soient livrés dans les délais, et dans les limites du budget. Le chef de projet technique travaillera en étroite collaboration avec des équipes interfonctionnelles, notamment des ingénieurs, des architectes et des parties prenantes, pour assurer la mise en œuvre réussie de solutions réseau qui répondent aux objectifs de l’organisation. Responsabilités: Diriger et gérer des projets d’infrastructure réseau, y compris les phases de planification, d’exécution et de clôture. Collaborer avec les parties prenantes pour définir la portée, les objectifs et les livrables du projet. Élaborer des plans, des calendriers et des budgets de projet détaillés et garantir le respect des délais et des budgets tout au long du cycle de vie du projet. Coordonner les ressources, y compris les équipes internes, les fournisseurs et les sous-traitants, pour garantir que les étapes du projet sont respectées. Surveiller l’avancement et les performances du projet, identifier et atténuer les risques, et résoudre les problèmes dès qu’ils surviennent. Communiquez l’état du projet, les mises à jour et les étapes clés aux parties prenantes et à la haute direction. Assurer le respect des normes industrielles pertinentes, des meilleures pratiques et des exigences réglementaires. Fournir une expertise technique et des conseils sur les technologies de réseau Cisco, Fortinet, Palo Alto et F5. Mener des initiatives d’amélioration continue pour améliorer les processus et les méthodologies de livraison de projets. Qualifications: Baccalauréat en informatique, en technologie de l’information ou dans un domaine connexe. Expérience avérée (5 années) en tant que chef de projet technique, de préférence dans le domaine des réseaux ou de l’infrastructure informatique. Solide connaissance et expérience pratique des technologies de réseau Cisco (par exemple, routeurs, commutateurs, pare-feu), des solutions Fortinet, Palo Alto et F5. Une certification en gestion de projet (par exemple, PMP, PRINCE2) est préférable. Excellentes compétences en leadership, en communication et en relations interpersonnelles. Capacité à prioriser et à gérer efficacement plusieurs projets simultanément. Solides compétences analytiques et de résolution de problèmes. Expérience de travail dans un environnement dynamique et au rythme rapide. Flexibilité de voyager occasionnellement selon les besoins. Trackers de talents spécialisés reliant les meilleurs talents sur les marchés Français, Suisse et Belge. Les consultants Glocomm ont des consultants experts alignés sur les cinq domaines techniques ci-dessous: - Cloud et infrastructure - ERP / CRM - Développement de logiciels - Intelligence d’affaires et analyse de données volumineuses - Sécurité Glocomms est la division informatique de Phaidon International, une agence mondiale de recrutement de spécialistes","Paris, France",200-610 €⁄j,https://www.free-work.com/fr/tech-it/consultant-securite-et-reseaux/job-mission/coordinateur-technique-reseaux-securite
"
      Expert Réseaux et Sécurité Industrielle
    ","Projet : Sécuriser l’environnement industriel réseau et télécommunication de la direction Mots Clefs : Architecte sécurité et réseau, Ingénieur Sécurité , Sécurité industrielle Double casquette Architecte et Implémentation Périmètre : - Chiffrement - Réseaux télécom (IP, Radio) - Architecture sécurité - Dossier d’architecture technique - Sécurité Réseaux (Firewall) Environnement : Sécurité de l’IOT, Cahier des charges, environnement industriel, Bastion Walix (Access privilege management), Antivirus et EDR, Fortinet, Palo Alto, Juniper, Cisco, SD WAN, 5G, WAF Mots Clefs : Architecte sécurité et réseau, Ingénieur Sécurité , Sécurité industrielle Double casquette Architecte et Implémentation Un profil qui a déjà travaillé dans un contexte industriel. Environnement : Sécurité de l’IOT, Cahier des charges, environnement industriel, Bastion Walix (Access privilege management), Antivirus et EDR, Fortinet, Palo Alto, Juniper, Cisco, SD WAN, 5G, WAF","Saint-Denis, Île-de-France",100-660 €⁄j,https://www.free-work.com/fr/tech-it/consultant-securite-et-reseaux/job-mission/expert-ingenieur-reseaux-et-securite-industrielle
