job-title,job-description,job-location,job-salary,job-url
SERVICE DELIVERY manager informatique SOC (IT) / Freelance,"Délivrer Des Services Managés De Veille sur les menaces cyber 
<br>Détection d?attaques et suivi des incidents de sécurité 
<br>Qualification des vulnérabilités 
<br>Réaction sur incidents de sécurité majeur 
<br>
<br> En tant que Service Delivery Manager, Tu seras en charge pour plusieurs clients du SOC de : 
<br>Piloter au quotidien l?activité afin de fournir un service conforme aux engagements contractuels 
<br>Organiser le suivi des équipes techniques, en binôme avec le référent technique, Participer aux réunions opérationnelles hebdomadaires 
<br>Organiser et animer les comités de opérationnels et de pilotage de la prestation prévus dans la gouvernance 
<br>Rédiger et maintenir à jour les livrables contractuels (convention de services, stratégies de collecte / détection) 
<br>Suivre l?avancement des projets et demandes complexes Participer à la planification des opérations 
<br>Réaliser le suivi des KPI, de la facturation et des éventuelles pénalités Gérer les situations de crise 
<br>Coordonner les intervenants, 
<br>Assurer les escalades et le suivi managérial, 
<br>S?assurer du suivi des plans d?actions définis Contribuer aux propositions commerciales, en lien avec l?équipe Sales 
<br>Accompagner le client sur les axes d?évolution et d?amélioration du service 
<br>
<br> En fonction de ton expérience sur les sujets traités, tu seras accompagné et soutenu par ton manager et tes collègues experts tout au long de tes missions. 
<br>
<br> <b>Tes objectifs :</b>
<br> Apporter immédiatement tes compétences relationnelles et ton expertise opérationnelle 
<br>Être présent pour notre équipe et les interlocuteurs client afin de les aider à trouver les solutions adaptées aux situations rencontrées 
<br>Savoir adapter son discours en fonction des interlocuteurs (métiers, experts, responsables, etc.) 
<br>Poursuivre la construction d?une relation de proximité avec le client 
<br>Participer à la pérennisation du client et au développement commercial de l?activité 
<br>
<br> <b>Profil candidat:</b>
<br> <b>Qualifications Idéalement tu es/as :</b> Un diplôme d?ingénieur (ou équivalent Bac +5) Une expérience dans la gestion de projet, d?équipe et de contrat, et idéalement, une première expérience sur un poste similaire 
<br>Un relationnel à toute épreuve pour démêler les situations les plus inextricables De la rigueur, un bon sens du service et la volonté de délivrer un service de qualité pour accompagner l?activité du client Un intérêt pour la cyber sécurité 
<br>Un bagage technique IT général, des connaissances cyber sécurité et cloud étant des plus appréciés 
<br>Pas de sueur froide à l?idée de se déplacer à temps partiel dans les locaux du client ou de prendre le téléphone pour fluidifier les échanges avec le client 
<br>A l?aise en anglais",Paris (75),De 450 € à 550 € par jour,https://fr.indeed.com/viewjob?jk=b26e2ccaa9488cb4&tk=1hpqf3pedjtug87p&from=serp&vjs=3
Un consultant informatique SecOps/ service now sur paris (IT) / Freelance,"Smarteo recherche pour l'un de ces clients, Un consultant SecOps/ service now sur paris 
<br>
<br> <b>Description:</b>
<br> Le client souhaite avoir un consultant Secops, idéalement pour un fulltime, mais ouvert à d'autres dispositifs. 
<br>
<br> <b>Contexte de la mission :</b>
<br> Dans le cadre des activités autour de l'application ServiceNow au sein du groupe, nous souhaitons renforcer l'équipe projet SecOps. 
<br>
<br> Nous sommes à la recherche d'un(e) consultant(e) ServiceNow avec une expertise Cyber sécurité pour accompagner le métier Cyber sur l'ensemble des projets autour du module SecOps. 
<br>
<br> <b>Description de la mission :</b>
<br> <b>Lieu :</b> Paris 
<br>
<br> possibilité de réaliser la mission en télétravail. 
<br>
<br> <b>Contexte :</b> le service en charge de la plateforme ServiceNow est à la recherche d'un consultant ServiceNow expérimenté. 
<br>
<br> Maîtrise de l'anglais (contrat TMA en outsourcing), 
<br>
<br> Maitrise de ServiceNow minimum 3 ans d'expérience (module SecOps fortement souhaité), 
<br>
<br> Bonne compréhension des enjeux des métiers de la Cyber Sécurité : gestion des vulnérabilités et incidents de sécurité. Orientation service client et recherche de valeur ajoutée, 
<br>
<br> Capacité d'analyse et esprit de synthèse / travail en équipe / aptitude à communiquer/ sens du service / autonomie et initiative / travail en transverse. 
<br>
<br> Livrables 
<br>
<br> <b>Accompagnement Métiers:</b>
<br> Assurer les études de cadrage, le recueil des besoins clients, 
<br>
<br> Modéliser les processus métier et identifier les opportunités d'amélioration des processus, 
<br>
<br> Assister la maîtrise d'ouvrage depuis l'établissement des spécifications, la définition des scénarios des tests métiers jusqu'à la recette, 
<br>
<br> Appuyer à la qualification des incidents, des bugs, des évolutions, 
<br>
<br> Assurer la communication projet vers le métier, 
<br>
<br> Challenger les besoins métiers afin d'homogénéiser les pratiques et favoriser le standard du produit. 
<br>
<br> <b>Pilotage:</b>
<br> Contrôler le suivi des réalisations (qualité, performance), les validations et recettes des livrables, 
<br>
<br> Être force de proposition dans l'innovation, la fiabilisation et l'harmonisation des pratiques, systèmes et processus, 
<br>
<br> Garantir la mise à jour du référentiel documentaire des processus, 
<br>
<br> Veiller à l'application des normes et méthodologies TGITS. 
<br>
<br> Si vous êtes disponible intéressé, merci de me faire parvenir votre TJM ainsi que votre CV à jour au format Word. 
<br>
<br> <b>Profil candidat:</b>
<br> Capacité d'analyse et esprit de synthèse / travail en équipe / aptitude à communiquer/ sens du service / autonomie et initiative / travail en transverse.",Paris (75),,https://fr.indeed.com/viewjob?jk=4f065be5aae6d3e2&tk=1hpqf3pedjtug87p&from=serp&vjs=3
SECURITY INCIDENT analyste informatique (IT) / Freelance,"L'analyste incident de sécurité identifie, catégorise, analyse et qualifie les évènements de sécurité en temps réel ou de manière asynchrone sur la base de rapports d'analyse sur les menaces. Il traite les incidents de sécurité avérés en support des équipes de réponse aux incidents de sécurité et participe aux cellules de crise. 
<br>
<br> Vous allez rejoindre l?équipe réponse aux incidents cyber au sein du Cyberdefense Operation Center. 
<br>
<br> <b>Contrainte forte du projet :</b> Contexte international 
<br>
<br> <b>Les livrables sont :</b> Ticketing 
<br>
<br> IRP,SOP,IRG 
<br>
<br> En tant qu?analyste DFIR/CTI vous allez rejoindre l?équipe réponse aux incidents cyber au sein du pôle Cyberdéfense. Vous serez le point de contact entre le volet réponse (DFIR) et le volet anticipation (CTI) pour faire adopter les bonnes pratiques de réponse axées sur la connaissance de la menace et la bonne utilisation de nos services de CTI. 
<br>
<br> L?objectif de la mission sera de réaliser activement de la veille sur la menace ainsi que répondre aux incidents cyber sur un périmètre couvrant le groupe ainsi que toutes ses filiales (35 000 collaborateurs dans le monde). 
<br>
<br> Pour arriver à cet objectif, vous mènerez à bien au quotidien les 10 missions suivantes : 
<br>
<br> <b>Sur le volet DFIR :</b>
<br> 1. Répondre aux incidents cyber avec un focus sur la menace traitée, les capacités de l?attaquant, son but, ; 
<br>
<br> 2. Mettre en place des workbooks DFIR (RE&amp;CT) pour automatiser le traitement des incidents cyber ; 
<br>
<br> 3. Mettre en place des threat playbook DFIR pour automatiser le traitement efficacement des menaces les plus récurrentes ; 
<br>
<br> 4. Améliorer la couverture de nos filiales en les aidant à adopter nos outils et processus pour aider Le Groupe à gagner en résilience chaque jour. 
<br>
<br> <b>Sur le volet CTI :</b>
<br> 5. Réaliser en continu une veille sur les différentes menaces cyber, plus spécifiquement sur les différents acteurs et leur modus operandi (tactiques, techniques, procédures &amp; indicateurs de compromission), 
<br>
<br> 6. Aider les équipes réponse &amp; détection à mieux comprendre les menaces émergentes et peu connues 
<br>
<br> 7. Mettre en place des workbooks CTI pour automatiser le traitement des alertes CTI 
<br>
<br> 8. Améliorer et tirer au maximum de la valeur de notre service de CTI externalisé, 
<br>
<br> 9. Enrichir, consolider et améliorer notre cartographie CTI, 
<br>
<br> 10. Participer à la promotion du service CTI Groupe auprès des autres équipes, filiales et directions 
<br>
<br> Confirmed (3 à 8 ans d'expérience dans l'activité) 
<br>
<br> Données complémentaires 
<br>
<br> <b>Profil candidat:</b>
<br> <b>Compétences techniques :</b> Gestion des incidents / demandes / problèmes - Confirmé - Impératif 
<br>
<br> Digital Forensics - Confirmé - Impératif 
<br>
<br> Cyber Threat intel - Confirmé - Impératif 
<br>
<br> Connaissances linguistiques Anglais Professionnel (Impératif)",La Défense (92),De 550 € à 660 € par jour,https://fr.indeed.com/viewjob?jk=ce633001274784ec&tk=1hpqf3pedjtug87p&from=serp&vjs=3
Expert cybersécurité informatique industrielle (IT) / Freelance,"<b>Contexte :</b>
<br> Dans le cadre des missions de contrôles et d?audits internes, des évaluations de conformité des sites sensibles de la société au regard du référentiel « Sécurité des Systèmes de Contrôle Industriel » (IND4) ont été réalisées à partir de 2016. Les résultats et retours de cette mission ont donné lieu à l?identification de recommandations afin d?atteindre la conformité à ce référentiel IND4. 
<br>
<br> Ces recommandations se sont structurées au sein d?un programme multi-directions baptisé OSS2021, piloté par la Direction Technique, et initié au printemps 2019 portant sur les sites les plus critiques de l?entreprise et visant à se conformer au référentiel Cybersécurité du groupe tracé au travers du processus de contrôle Interne INCOME IND4 ? Cybersécurité des Systèmes de Contrôle Commande Industriels. 
<br>
<br> L?objectif visé est maintenant d?établir un programme de sécurisation globale des installations industrielles, au juste niveau selon les risques encourus. Ce programme SEIGA (Sécurisation des Environnements Industriels et Gestion des Accès) vise notamment à : 
<br>
<br> Limiter le risque de propagation d?une attaque multi-sites 
<br>
<br> Protéger les actifs industriels critiques 
<br>
<br> Intégrer la cybersécurité dans le cycle de vie des projets et réduire la dette technique. 
<br>
<br> <b>Rôle :</b>
<br> Afin de renforcer l?équipe projet, la DSI recherche un profil de chef de projet/expert Microsoft &amp; cybersécurité avec une bonne connaissance des systèmes industriels (automatisme, etc.). 
<br>
<br> <b>Prise de connaissance de l?existant :</b> organisation, architecture, sécurité, etc. 
<br>
<br> Coordination avec le pôle cybersécurité pour l?implémentation des exigences et contre-mesures 
<br>
<br> Contribution aux ateliers avec les fournisseurs d?application 
<br>
<br> Analyse de risque de cybersécurité et définition de contre-mesures 
<br>
<br> Proposition et design des solutions à mettre en ?uvre 
<br>
<br> Mise en ?uvre du durcissement 
<br>
<br> Rédaction ou validation de documents techniques pour l?installation et la configuration des solutions 
<br>
<br> Contrôle de conformité des solutions déployées en regard des exigences fonctionnelles et sécurité 
<br>
<br> Organisation et réalisation de tests de vulnérabilité 
<br>
<br> Documentation et réalisation des tests et recettes 
<br>
<br> Accompagnement des équipes de RUN à l?exploitation des solutions 
<br>
<br> <b>Profil candidat:</b>
<br> Formation ingénieur spécialisé en sécurité informatique et/ou télécoms, sécurité des systèmes informatiques et des réseaux, sécurité, cryptologie et codage de l?information? 
<br>
<br> Au moins 5 à 7 ans d?expérience en cybersécurité 
<br>
<br> Expérience dans la sécurisation des systèmes d'information industriels 
<br>
<br> Clarté de communication, capacité de rédaction (transmission de l'information) et de schématisation 
<br>
<br> Travail en équipe, sens du relationnel (approche collaborative/collégiale) 
<br>
<br> Rigoureux(se), organisé(e) et autonome sur le traitement des activités 
<br>
<br> Curieux(se), ouvert(e) d?esprit, force de proposition 
<br>
<br> Autonomie sur le traitement des activités 
<br>
<br> Anglais technique requis 
<br>
<br> <b>Bonnes connaissances en cybersécurité notamment :</b>
<br> Gestion des comptes et des accès 
<br>
<br> Durcissement de systèmes et applications 
<br>
<br> Architecture et cloisonnement des systèmes 
<br>
<br> Outil de Patching 
<br>
<br> Processus cybersécurité 
<br>
<br> Expertise en durcissement d?application (systèmes Windows, SQL, etc.) 
<br>
<br> Connaissance des systèmes, réseau, firewall, gestion de logs et gestion de PKI 
<br>
<br> Forte compréhension des problématiques de sécurité dans un contexte industriel réglementé 
<br>
<br> Connaissance des vulnérabilités informatiques et des bonnes pratiques en matière de cyber sécurité 
<br>
<br> Connaissance des Normes ISO 27000, CEI 62443 
<br>
<br> Connaissance PSSI-E &amp; référentiels publiés par L?ANSSI 
<br>
<br> Approche maitrisée des analyses de risques informatiques",92270 Bois-Colombes,De 550 € à 700 € par jour,https://fr.indeed.com/viewjob?jk=b55287a6494a4933&tk=1hpqf3pedjtug87p&from=serp&vjs=3
Chef de projet informatique cybersécurité informatique (IT) / Freelance,"Cyber Security Manager renforce son dispositif et recherche une assistance possédant une bonne expérience dans les domaines de la cybersécurité et de la gestion de projets de sécurité, idéalement exercée dans le secteur de l?industrie financière. 
<br>Le consultant assiste le Responsable Cyber Sécurité dans le cadre du programme Cyber Sécurité. Le consultant devra encadrer les différentes initiatives de cybersécurité dont il aura la charge, respecter les plannings, identifier les ressources nécessaires et la charge de travail associée, préparer et animer les différents comités opérationnels. Pour ce faire, il suit l?avancement des initiatives avec la production et le reporting d?indicateurs clés, s?assure du respect des délais et du budget, remonte les alertes. 
<br>
<br> Ses connaissances en sécurité lui permettent de traduire les exigences/objectifs en plans d?action, de challenger les parties prenantes, d?évaluer et d?aligner les mesures de sécurité avec les exigences du client, de s?assurer de la bonne qualité des livrables attendus et de l?atteinte des objectifs de maturité fixés. A ce titre, le consultant interagira avec d?autres départements informatiques tels que IT Infra &amp; Production, IT Architect ou IT Development, ainsi qu?avec des acteurs transversaux tels que le Data Office ou les équipes Compliance ou Legal. Il/elle collecte et centralise les preuves en vérifiant la bonne qualité des documents et assiste éventuellement à la production des preuves/réponses à fournir aux auditeurs. Au-delà du programme, le consultant participe aux actions de gouvernance, à l?organisation des comités de sécurité, aux mises à jour des politiques, aux communications et à la sensibilisation aux bonnes pratiques de sécurité.",Paris (75),De 500 € à 700 € par jour,https://fr.indeed.com/viewjob?jk=04e0a40632f8b6f9&tk=1hpqf3pedjtug87p&from=serp&vjs=3
ingénieur informatique Cybersécurité informatique RUN (IT) / Freelance,"Descriptif de la mission 
<br>
<br> <b>Les objectifs de la mission consistent à :</b>
<br> Proposer des actions préventives et correctives pour élever le niveau de sécurité des systèmes 
<br>Assurer le suivi des analyses de vulnérabilités concernant les applications métiers (lancement des analyses, évaluation des risques, identification des travaux de remédiation) 
<br>Gérer les emails douteux (investigation, lien avec le département Sécurité, réponse aux utilisateurs). 
<br>Effectuer de l?investigation en cas d?incident de cyber sécurité 
<br>Proposer des actions et/ou déployer des solutions de remédiations pour pallier les failles de sécurité identifiées 
<br>Mettre les solutions adaptées en cas d?incident incident/problème de sécurité 
<br>Accompagner les architectes dans les phases projet afin de mettre en place by design des solutions intégrant la sécurité 
<br>Analyser périodiquement les vulnérabilités des systèmes 
<br>Rendre un avis concernant la cyber sécurité dans le cadre des comités d?architecture 
<br>
<br> Il s?agit d?une mission nécessitant une maturité certaine ainsi qu?une excellente connaissance des systèmes d?information. 
<br>
<br> <b>Compétences techniques requises :</b>
<br> Dans le cadre de cette mission, il est nécessaire que le soumissionnaire présente les compétences techniques suivantes : 
<br>Bonne connaissance du système d?information global et de la gouvernance du SI, 
<br>Bonnes connaissance des systèmes d?exploitation (Windows, RedHat) 
<br>Bonnes connaissances des réseaux et leurs protections 
<br>Bonnes connaissances en matière de cyber sécurité du SI. 
<br>
<br> <b>Compétences méthodologiques requises :</b>
<br> Rigueur, capacité d?anticipation et sens de la méthode, 
<br>Autonome, empathique et sens de la pédagogie, 
<br>Esprit de synthèse et capacité à prioriser les problématiques de manière à avoir une vision globale du système d?information de l?entreprise et de la cible à atteindre, 
<br>Qualités relationnelles et diplomatie, 
<br>Qualités rédactionnelles pour la publication des livrables projet. 
<br>Pouvoir expliquer aux chefs de projet, aux architectes et aux différentes divisions de la DSI, l?importance et la criticité des aspects cyber sécurité 
<br>Etre à l?écoute des besoins métiers et contraintes techniques afin de proposer des solutions appropriées 
<br>Savoir anticiper les potentiels problèmes lors de l?évolution des systèmes d?information et proposer des actions d?accompagnement permettant de maintenir un niveau de sécurité élevé 
<br>En cas d?alerte sécurité, être disponible, réactif 
<br>Avoir une bonne visibilité et connaissance du marché des outils de cyber sécurité 
<br>Posséder les qualités rédactionnelles permettant la réalisation des modes opératoires nécessaires à la bonne application de la politique de SSI 
<br>Autonomie, rigueur et méthodologie",Paris (75),600 € par jour,https://fr.indeed.com/viewjob?jk=d8085192cf9d7156&tk=1hpqf3pedjtug87p&from=serp&vjs=3
Expert en Cyber sécurité informatique (IT) / Freelance,"<div>
 Pour le compte d?un organisme de l?état, nous recherchons un profil expert en sécurité des systèmes d?informations pour prendre en charge les activités auprès du Chef de mission (détenant la qualité RSSI).
 <br> 
 <br> L?expert sera mobilisé à temps plein pour prendre en charge les domaines d?activités suivants :
 <br> Appui SSI :
 <br> 
 <br> 
 <ul>
  <li>Gestion des homologations des traitements informatiques sous responsabilité de la DGEFP (piloter la feuille de route, prendre en charge l?animation et la préparation des homologations/etudes EBIOS avec les partenaires et les autorités)</li>
  <li>Animer la veille SSI et représenter la DGEFP dans les instances de sécurité</li>
  <li>Appuyer la DGS dans la gestion des crises de sécurité, les communications</li>
  <li>Evangélisation SSI</li>
 </ul> 
 <br> L?appui SSI représente une part d?activité variable en fonction du planning des homologations et des incidents de sécurité, et une part récurrente axée sur la veille, l?amélioration des procédures et l?accompagnement des responsables applicatifs
 <br> 
 <br> Contrainte forte du projet Maîtrise des homologations RGS, Gestion du Changement, Sécurité des SI de l?Etat
 <br> Compétences techniques homologation RGS - Expert - Impératif
 <br> Veille SSI / gestion de crise - Expert - Impératif
 <br> Connaissances linguistiques Français Courant (Impératif)
</div>",Paris (75),,https://fr.indeed.com/viewjob?jk=4e2f855b457d2343&tk=1hpqf3pedjtug87p&from=serp&vjs=3
Expertise Carl Source (2j /semaine; Habilitation) (IT) / Freelance,"engIT Paris, à aujourd'hui, l'opportunité de vous proposé une opportunité, de compléter votre mission actuelle, au rythme de 2 jours par semaine en distenciel. 
<br>
<br> engIT est une jeune société d'ingénierie, dédiée à l'innovation, animée par des passionnés de technologies et d?innovation en IT créée en 2017 à Sophia Antipolis et aujourd'hui présente à Nice, Aix, Lille, Paris et Monaco... 
<br>
<br> Objets connectés, IA, Big Data, Deep Learning, véhicules autonomes, réalité augmentée, UX, logiciels embarqués, cyber sécurité, Blockchain, Cloud, mobilité, ne sont qu?une partie de nos centres d'intérêts. 
<br>
<br> <b>L?équipe engIT Paris, recherche un/une :</b> ""Expert Carl Source"" afin d'accompagner la DSI d'un de ses clients premium. 
<br>
<br> <b>Profil candidat:</b>
<br> Pour réaliser cette mission, vous devrez justifier d'une expertise concrète, sur la solution de GMAO, Carl Source. 
<br>
<br> Vous serez amené à intervenir au sein des équipes dédiées de la DSI du client, en tant qu'expert, afin de les accompagner, sur centaines tâches clefs liées à la solution, comme la réalisation des mises à jour, le support, l'administration avancée, l'expertise...",78140 Vélizy-Villacoublay,De 350 € à 450 € par jour,https://fr.indeed.com/viewjob?jk=63a2853d23e64bad&tk=1hpqf3pedjtug87p&from=serp&vjs=3
Chef de projet informatique cybersécurité informatique experimenté (IT) / Freelance,"<div>
 Contexte de la mission : Le consultant ne fait pas d?audit mais les suivis d?audit. 
 <br> L?équipe Cyber &amp; Service Delivery se renforce pour:
 <br> 
 <ul>
  <li>gérer et superviser la remédiation, auprès des équipes d?infrastructure, d?audits Cyber ;</li>
  <li>préparer et accompagner les audits à venir;</li>
  <li>proposer et faire appliquer des politiques d?amélioration continue.</li>
 </ul> 
 <br> Objectifs/Descriptif de mission :
 <br> Travailler en interaction ?active? avec les différents domaines de l?infrastructure: -
 <br> Core services ;
 <br> Modern workplace ;
 <br> Networks ;
 <br> Platform ;
 <br> Services desks &amp; end user support.
 <br> 
 <br> L?environnement de travail, à l?international, demande de solides compétences organisationnelles et interculturelles.
 <br> Expertise en environnement anglophone obligatoire.
 <br> 
 <br> Activités de la prestation
 <br> 1) Gérer et superviser, sous Service Now, la résolution des recommandations d?audits:
 <br> Ransomware ;
 <br> Cloud security ;
 <br> Obscolescence ;
 <br> 
 <br> 2) Assurer la communication
 <br> Animer des réunions trimestrielles, à audience Monde , d?avancement avec les directeurs de l?infrastructure et de la sécurité ;
 <br> Proposer des dashboards temps-réel de suivi: sous Service Now et/ou PowerBi.
 <br> 
 <br> 3) Participer et préparer les audits à venir
 <br> Préparer un agenda et un planning de charge, conjointement avec les directeurs de l?infrascture concernés ;
 <br> Participer aux réunions de workshop, kick-off et de restitutions avec les cabinets d?audit ;
 <br> Préparer, sous Service NOW, les recommandations d?audits (ENG, IPT, IPT_TASKS) avec les équipes d?infrastructure et les équipes Cyber.
 <br> 
 <br> 4) Proposer et faire appliquer des politiques d?amélioration continue :
 <br> Spécifier le besoin de nouveaux contrôles continues ;
 <br> Assurer le suivi, en RUN.
 <br> 
 <br> 
 <br> Profil candidat:
 <br> Contexte de la mission : Le consultant ne fait pas d?audit mais les suivis d?audit.
</div>",92110 Clichy,De 550 € à 700 € par jour,https://fr.indeed.com/viewjob?jk=58679639666a3ad9&tk=1hpqf3pedjtug87p&from=serp&vjs=3
PMO Risk Cyber-Sécurité (H/F) - CDI ou freelance - Paris,"<div>
 <p>Bonjour,</p>
 <p> Dans le cadre d'un projet remporté au forfait pour l'un de nos client, cabinet de conseil spécialisé en finance.</p>
 <p> Nous recherchons un profil de PMO risk et Cyber-sécurité (H/F) en CDI ou freelance.</p>
 <br> 
 <p>Vous interviendrez dans la conduite de projets pour des Clients basés sur Paris &amp; Ile de France.</p> 
 <p>Vous aurez les responsabilités suivantes :</p> 
 <ul>
  <li>Fournir une assistance aux fonctions Cyber-Sécurité, IT Risk, Data Protection, IT…</li> 
  <li>Assurer la PMO de projets (gestion de planning, gestion des ressources, du budget, du suivi d’activité, des indicateurs, gestion et animation de comités, compte-rendu, communication projet, reporting…)</li> 
  <li>Réaliser la conduite du changement et déployer des programmes d’acculturation</li> 
  <li>Accompagner la transformation et les évolutions d’organisation en Clientèle</li> 
  <li>Cartographier et analyser les risques, effectuer les études d’impact</li> 
  <li>Produire les tableaux de bord, les indicateurs de suivi et les alertes</li> 
  <li>Définir et déployer les politiques et standards</li> 
  <li>Réaliser une veille des règlementations en Cyber-Sécurité, IT Risk, Data IT…</li> 
 </ul>
 <p> Votre profil :</p> 
 <ul>
  <li>De formation ingénieur ou équivalent, vous disposez de plus de 5 ans d’expérience en Audit ou Conseil dans les services financiers</li> 
  <li>Vous disposez d’une solide expérience en PMO / Gestion de projets</li> 
  <li>Vous êtes en mesure de piloter un programme et d’animer des ateliers, d’assurer l’interface avec les parties prenantes des projets en Clientèle</li> 
  <li>Vous êtes autonome, force de proposition et en capacité d’appréhender les enjeux Métiers</li> 
  <li>La connaissance des métiers de la banque ou assurance est un plus</li> 
 </ul>
 <p> Vos atouts qui feront la différence :</p> 
 <ul>
  <li>Curiosité, rigueur, dynamisme et proactivité</li> 
  <li>Aisance relationnelle et appétence pour la communication</li> 
  <li>Sens du travail en équipe et de l’engagement</li> 
  <li>Maitrise de l’anglais</li> 
 </ul>
 <p> </p>
 <p>Vous êtes intéressés, merci de nous envoyer votre cv actualisé, vos disponibilités pour entretien et démarrage et vos prétentions salariales.</p>
</div>
<p></p>",75004 Paris,,https://fr.indeed.com/viewjob?jk=af207fddcb651cc6&tk=1hpqf3pedjtug87p&from=serp&vjs=3
