job-title,job-description,job-location,job-salary,job-url,job-type
"
      Consultant Linux/Android - Cergy Pontoise (95)
    ","Contexte : Mise en place de flux réseau sécurisés au sein d’un appareil Android Principales tâches : - Rétro-ingénierie de l’architecture réseau et SoC Android - Mise en œuvre des ressources du réseau dans la TEE - Interface entre REE et TEE - Conception et développement de logiciels - Tests de performance et optimisation COMPÉTENCES : - Noyau Linux (pilotes, dts) - Gestion du réseau sous Linux (routage, pare-feu) - Connaissance des protocoles IP et de sécurité (TLS, VPN) - Plateforme Android (AOSP) - Connaissance de la VoIP (SIP) - 5 à 10 ans d’expérience dans une activité similaire Obligatoire : French nationality Pré-embauche : levée de la clause de non-sollicitation après 7 mois ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++ Cette prestation vous intéresse ? N’hésitez plus, déposez votre candidature immédiatement ! Transmettez-nous au plus tôt votre CV actualisé en français au format WORD, quelques lignes de présentation, votre date de disponibilité, votre lieu d’habitation, votre TJ le plus attractif pour cette prestation. Ouverture de la sous-traitance au mode recrutement après une période de prestation de services Pré-embauche : levée de la clause de non-sollicitation après 7 mois ADVANCE by SIGNE+ en quelques mots : - Depuis 2005, pôle d’intermédiation favorisant la mise en relation d’experts de la Tech avec des Grands comptes, des ESN, des ETI et des PME/PMI, - Spécialiste du marché Digital IT, Data BI, ERP, Cyber - Interventions en France comme à l’étranger en sous-traitance, pré-embauche, recrutement, portage commercial et portage salarial, - Plateforme évolutive de plus de 150 000 profils actifs, - Accompagnement de proximité auprès des clients et des collaborateurs, juste prix et préoccupation éthique de tous les instants.","Cergy, Île-de-France",430-460 €⁄j,https://www.free-work.com/fr/tech-it/administrateur-linux/job-mission/consultant-linux-android-cergy-pontoise-95,"
      Freelance
    "
"
      Ingénieur/ Administrateur Cybersécurité
    ","Bonjour, Je recherche un Ingénieur Cybersécurité TANIUM pour une mission de longue durée pour l’un de nos clients basé en IDF. Les compétences requises pour cette demande sont les suivantes : - TANIUM (indispensable) - SOC - SIEM - Pyhton - Powershell Démarrage : au plus tôt Durée : Longue durée Lieu : IDF Télétravail non négociable : 2 jours par semaine Cordialement, Micka l TEKsystems La réussite d’une entreprise repose sur le travail de ses collaborateurs. Chez TEKsystems , nous comprenons les personnes. Chaque année, nous plaçons plus de 80 000 professionnels de l’informatique, dont plusieurs milliers en CDI à travers le monde. Notre connaissance approfondie de la gestion du capital humain nous permet d’aider nos clients à atteindre leurs objectifs métier, tout en optimisant leurs stratégies en matière de personnel informatique","Paris, France",,https://www.free-work.com/fr/tech-it/ingenieur-en-cybersecurite/job-mission/ingenieur-administrateur-cybersecurite,"
      Freelance
    "
"
      Architecte Cloud (h/f)
    ","emagine recherche pour l'un de ses clients finaux un Analyste SOC : Démarrage : Immédiat Durée : 1an + Lieu : IDF-93 & 2j de TT Vos missions : Surveillance et détection des menaces (Surveiller en temps réel les journaux d'événements et les alertes de sécurité, analyser les données de sécurité) Investigation et analyse d'incidents (Enquêter sur les incidents de sécurité signalés pour déterminer l'ampleur de la menace, documenter les incidents de sécurité, rédiger des fiches reflexes) Écriture de règles sur le SIEM (Concevoir, développer, mettre en oeuvre et tester des règles de corrélation sur le SIEM LogPoint, optimiser les règles et filtres existantes pour améliorer la détection des activités suspectes et réduire les faux positifs) Réponse aux incidents (Participer à la réponse aux incidents avec les membres de l'équipe de sécurité, proposer des mesures d'atténuation immédiates pour contenir les incidents de sécurité et minimiser les dommages potentiels) Amélioration continue (Participer à l'analyse post-mortem des incidents, contribuer à l'élaboration et à la mise en oeuvre de politiques) Compétences : Solide compréhension des technologies de sécurité de l'information, des protocoles réseau et des méthodes d'attaque courantes Expérience pratique avec les outils de surveillance de la sécurité, notamment LogPoint ou d'autres solutions SIEM Fortes qualités de travail en équipe Ponctualité et capacité à respecter les délais pour répondre rapidement aux incidents de sécurité Connaissance du référentiel PDIS de l'ANSSI Expérience professionnelle antérieure dans un SOC exigée Si cette mission vous intéresse merci de nous envoyer votre candidature (CV + TJ) aux coordonnées suivantes XXXX@XXXX.XX A propos d’emagine Depuis 30 ans, nos clients voient en emagine un partenaire fiable auquel ils confient leurs projets IT, Applicatif, Digital et Cybersécurité. Présent en France au travers de 5 bureaux et en dix autres pays Européens, nous formons dorénavant un groupe de 600 m€ de chiffre d’affaires, avec plus de 4 500 consultants en mission. Nous accompagnons nos clients sur des prestations à très forte valeur ajoutée et proposons des solutions complètes d’audit et de gestion de ressources externes. Nous devons notre capacité à intervenir sur des prestations complexes ou pointues à notre esprit d’innovation et à l’agilité qu’emagine met au cœur de son dispositif.",France,,https://www.free-work.com/fr/tech-it/ingenieur-devops/job-mission/architecte-cloud-h-f-90,"
      Freelance
    "
"
      Analyste SOC  / La Défense / Anglais fluent mandatory 
    ","Détecter et traiter les incidents de sécurité SI au sein d’un SOC Le Global SOC a pour mission de détecter les incidents de Cybersécurité et de les gérer. Pour cela le GSOC s'appuie sur l'environnement technique suivant:•Splunk pour la collecte des logs et la détection des alertes de cybersécurité•IBM Resilient (SOAR/SIRP) pour la gestion des alertes et des incidents de sécurité•Les consoles natives des outils de sécurité (Proofpoint TAP, Zscaler, ...) •Détecter et gérer les incidents de sécurité remontés par le SIEM, par mail, téléphone•Prendre en compte les alertes et des incidents de sécurité et les traiter en relation avec les équipes sécurité des entités du groupe•Evaluer les risques et cyber menaces pouvant impacter Engie et mettre en oeuvre les moyens de détection associés •Threat Intelligence: Analyse et veille des menaces•Implémenter et améliorer des règles de détection •Documenter les playbooks de réponse à incidents•Threat Hunting: Vous recherchez des intrusions sur le SI d’Engie, incluant l’environnement Office 365, Cloud AWS et Microsoft Azure•Expériences dans les outils EDR•Effectuer des analyses Forensics •Communiquer avec l’ensemble des entités opérationnelles de sécurité du groupe Bonne communication en anglais/francais (fluent) Certifications Cyber Défense (SANS, HS2) Compétences forensics / Pentests (KAPE,FTK..) CompétencesEDR avancé Compétences Cloud (AWS,Azure,Office 365) Scripting Python avancé Environment SOC ou CERT ou CSIRT Maitrise de SIEM Livrables: •Ticket Resilient de gestion des incidents•Implémentation Règles de détection Splunk •Documentation des règles de détection•Documentation des Playbooks de réponse à incident •Analyse des menaces et couverture des menaces par les règles de détection","La Défense, Île-de-France",100-500 €⁄j,https://www.free-work.com/fr/tech-it/analyste/job-mission/2-analyste-soc-la-defense-anglais-fluent-mandatory,"
      Freelance
    "
"
      Ingénieur SecOps – SOAR / SIEM Automation
    ","Nous recherchons un ingénieur en orchestration de sécurité et réponse automatisée (SOAR) chargé de maintenir notre solution SOAR, de développer des playbooks et de mettre en œuvre des intégrations au sein de l'équipe d'ingénierie de la plateforme SOC. L'ingénieur SOAR collaborera étroitement avec des équipes interfonctionnelles, en tirant parti de diverses technologies pour mettre en œuvre l'automatisation de la sécurité et en aidant notre équipe de réponse aux incidents à améliorer la productivité des analystes contre les cybermenaces. Maintenir notre plateforme SOAR à son niveau optimal et nos playbooks existants, Développer de nouveaux playbooks pour répondre à des exigences de sécurité spécifiques, Collaborer avec les parties prenantes pour identifier les cas d'utilisation, Développer et maintenir des scripts d'automatisation (Python), Soutenir les analystes de sécurité dans l'automatisation des activités de réponse aux incidents, Documenter les processus et les workflows pour le partage interne, Participer à l'étude technique Expérience avec SIEM ou infrastructure cloud, telle que Splunk ou Microsoft Azure. Lieu/Localisation : Sophia-Antipolis ou full remote suivant profil Télétravail : Oui ou non, si oui combien de jours par semaine : Oui 2 jours / semaine ou full remote suivant profil Niveau de séniorité attendue : 5-10 ans Nombre de ressource(s) : 1","Nice, Provence-Alpes-Côte d'Azur",500-550 €⁄j,https://www.free-work.com/fr/tech-it/ingenieur/job-mission/ingenieur-secops-soar-siem-automation,"
      Freelance
    "
"
      Expert Cybersécurité RUN SOC
    ","Dans le cadre de l'équipe de détection et de réaction aux incidents de cybersécurité. Cette équipe réalise les missions de détection, de qualification, d'analyse et de traitement des incidents de sécurité. Les principales missions : • Surveillance permanente et proactive des menaces et des vulnérabilités • Analyser des risques et des impacts dans le contexte du client • Élaborer, piloter et mettre en œuvre des plans de remédiation • Gestion des incidents et des demandes : • Prise en compte, analyse et remédiation des incidents de sécurité déclarés par les utilisateurs ou par nos partenaires de cybersurveillance • Pilotage des actions opérationnelles du processus de gestion de crise en cas d’incident majeur de cybersécurité • Gestion des boites mails • Traitement des demandes sur les éventuels projets du groupe • Traitement des spams • Gestion des problèmes de sécurité • Amélioration continue de la sécurité des SI au travers la gestion de problèmes de sécurité issus des Post-Mortem, des vulnérabilités La Société devra fournir les prestations suivantes : • Gestion des incidents et des demandes de sécurité : enregistrement, qualification, analyse, diagnostic, suivi et clôture • Expertise dans le traitement des incidents et contribution au renforcement des bonnes pratiques d’investigation dans l’équipe • Proposition d'amélioration continue des outils et process Connaissances souhaitées sur les logiciels suivant : • ITSM (Service Now) • SIEM (Splunk) • SOAR • EDR (Defender et Crowdstrike) • Scanner de vulnérabilité (Tenable) Compte tenu du rôle d’expert RUN SOC/CSIRT attendu de cette prestation, une expérience significative est attendue. Dans le cadre de l'équipe de détection et de réaction aux incidents de cybersécurité. Cette équipe réalise les missions de détection, de qualification, d'analyse et de traitement des incidents de sécurité. Les principales missions : • Surveillance permanente et proactive des menaces et des vulnérabilités • Analyser des risques et des impacts dans le contexte du client • Élaborer, piloter et mettre en œuvre des plans de remédiation • Gestion des incidents et des demandes : • Prise en compte, analyse et remédiation des incidents de sécurité déclarés par les utilisateurs ou par nos partenaires de cybersurveillance • Pilotage des actions opérationnelles du processus de gestion de crise en cas d’incident majeur de cybersécurité • Gestion des boites mails • Traitement des demandes sur les éventuels projets du groupe • Traitement des spams • Gestion des problèmes de sécurité • Amélioration continue de la sécurité des SI au travers la gestion de problèmes de sécurité issus des Post-Mortem, des vulnérabilités","Le Mans, Pays de la Loire",250-630 €⁄j,https://www.free-work.com/fr/tech-it/ingenieur-en-cybersecurite/job-mission/expert-cybersecurite-run-soc,"
      Freelance
    "
"
      Consultant MOE BI T.SQL_SSIS Sénior/ Socle Data
    ","Compétences impérativement exigées : ➢ Compétences techniques ▪ Conception / Modélisation BI (Flux & modèles de données) ▪ Expériences significatives sur la mise en place complète de projets BI Data ETL (conception, modélisation, réalisation) et sur le RUN en environnement Full Microsoft (SSIS, SQL Server : Modélisation, procédures stockées, optimisation SQL, etc.). ▪ Connaissance et mise en œuvre de la suite Microsoft AZURE DEVOPS (Git, Board Agile, Pipeline de déploiement CI/CD). ▪ Anglais professionnel. ➢ Compétences organisationnelles ▪ Expérience significative sur l’implémentation de projets BI d'intégration de données (datawarehouse & datamarts) ▪ Avoir la capacité de mener des mini-projets en autonomie tout en étant accompagné par un(e) maitrise d’ouvrage et/ou le métier. ▪ Capacité à s’organiser, à s’adapter sur les priorités, à synthétiser l’état d’avancement de ses activités et à remonter les alertes si besoin. ▪ Compétence(s) appréciée(s) : ➢ Métiers Logistique (facultatif) ➢ Technologies Reporting BI : TABLEAU, IBM Cognos (facultatif) ➢ Travail avec un partenaire offshore ➢ Certifications sur la suite MSBI (facultative) ▪ Descriptif détaillé de la mission : ➢ Assurer le RUN des applications existantes (ETL, Bases de données, support niveau 3) ➢ Comprendre les enjeux métier, problématiques à résoudre et opportunités à concrétiser. ➢ Echanger et challenger les besoins métiers avec les équipes AMOA BI en tenant compte des contraintes techniques. ➢ Proposer, concevoir et spécifier des solutions techniques viables, évolutives et tenant compte de l'existant. ➢ Rédaction des documents techniques (spécification techniques, document d’exploitation…etc). ➢ Conseiller, proposer des axes d'amélioration, alerter si besoin. ▪ Environnement technique de la mission : ➢ Socle Data : SSIS, SQLServer (2016), procédures stockées, Azure DevOps (Git, Board Agile, Pipeline de déploiement CI/CD) ➢ Reporting : COGNOS BI 10.2 et 11 & Tableau Profil : ▪ Bon relationnel, sens de la communication, qualité d’expression orale et écrite, appétence au travail collaboratif et aux problématiques fonctionnelles ▪ Être force de proposition ▪ Méthodologie, organisation, rigueur ▪ Capacité de synthèse et d'analyse ▪ Capacité à travailler en équipe, à s'adapter à différents interlocuteurs, sens du service, écoute, humilité et ouverture d'esprit. ▪ Environnement technique de la mission : ➢ Socle Data : SSIS, SQLServer (2016), procédures stockées, Azure DevOps (Git, Board Agile, Pipeline de déploiement CI/CD) ➢ Reporting : COGNOS BI 10.2 et 11 & Tableau","Paris, France","50k-77k €⁄an, 500-680 €⁄j",https://www.free-work.com/fr/tech-it/administrateur-sql/job-mission/consultant-moe-bi-t-sql-ssis-senior-socle-data,"
      Freelance
     
      CDI
    "
"
      Consultant cybersécurité (H/F)
    ","Espace-Freelance, réseau de consultants indépendants, recherche pour l’un de ses clients directs : un Consultant cybersécurité (H/F), OFFRE A POURVOIR DANS LA METROPOLE LILLOISE. 2 jours de télétravail MAXIMUM. Votre mission : Renfort au RSSI sur les différentes taches cyber, Sensibilisation des collaborateurs, Analyse de risques, Force de proposition concernant des solutions permettant de réduire les risques en prenant en compte les contraintes de l’environnement. Gestion documentaires Expérience dans la sécurité des SI et dans le pilotage et l’analyse des risques métiers. Contexte international : anglais requis Expérience dans la sécurité des SI et dans le pilotage et l’analyse des risques métiers. Contexte international : anglais requis Profil confirmé. Force de propositions. MISSION DANS LA METROPOLE LILLOISE : sur site 2 / 3 jours. ET ACCESSIBLE EN TRANSPORT EN COMMUN. Bon communicant, vous êtes à l'aise pour accompagner des profils plus juniors dans la montée en compétence.","Lille, Hauts-de-France",480-720 €⁄j,https://www.free-work.com/fr/tech-it/ingenieur-en-cybersecurite/job-mission/consultant-cybersecurite-h-f-76,"
      Freelance
    "
"
      Consultant Power BI (H/F) - 92
    ","Descriptif de mission : Rôle de Tech Lead pour l’équipe en place mais aussi de Développeur Relation avec les métiers pour le recueil de besoin (questionnement et approfondissement des cahiers des charges) Analyse et rédaction des spécifications techniques Modélisation de base de données Développement des projets en environnement full Microsoft : SQL Server, SSIS, cube SSAS sur Azure Cloud, PowerBI Animation de la communauté utilisateurs (formation, animation) Support Utilisateurs (outil de ticketing ServiceNow) Monitoring, résolution des bugs en production Mettre en place des bonnes pratiques (pour l’équipe de Développement + pour les utilisateurs finaux) Force de proposition pour amélioration de la plateforme Compétences requises : Maîtrise forte de l’ensemble de la chaine Microsoft : SQL Server, SSIS, SSAS, Power BI Maîtrise du langage SQL Connaissance Azure Cloud et langage Python est un plus Capacité à travailler en équipe et en autonomie Bon communicant avec tous vos interlocuteurs (ex : les différents métiers, direction, etc. ) Bonne capacité d’analyse et rigoureux Force de proposition, Capable de prendre des initiatives Anglais : au moins écrit, oral apprécié (technique) A division of Tenth Revolution Group, Frank Recruitment Group is a specialist technology recruitment business operating from 24 offices across North America, EMEA and Asia Pacific. This enables the company to cover expansive geographic areas and assists in creating one global process, with the same training, systems, database and management structure and most importantly one global culture. The business focuses on specialist product markets exhibiting strong growth and supply shortages in which it can become the recognised brand leader, with seven unique brands each focused on delivering world-leading talent for one specific technology: Nigel Frank International (Microsoft), Mason Frank International (Salesforce), Jefferson Frank (AWS), Washington Frank International (ERP), Anderson Frank International (NetSuite), Nelson Frank (ServiceNow), and FRG Technology Consulting (emerging and specialist tech). For more information, visit frankgroup.com","Hauts-de-Seine, France",400 €⁄j,https://www.free-work.com/fr/tech-it/consultant/job-mission/consultant-power-bi-h-f-92,"
      Freelance
    "
"
      Chef de projet Virtual Workplace h/f
    ","Dans le cadre de notre développement, nous recherchons un.e Chef de projet Virtual Workplace. La mission consiste à : Identifier les besoins d’accès à des applications du client ou des applications métiers via Virtual Workplace pour chacune des directions Piloter la publication de ces applications dans Virtual Workplace La mission s’inscrit dans le cadre de la solution Virtual Workplace (environnement CITRIX, flux réseaux, environnement IT Workplace, ITSM) Les activités : Recenser les besoins d’accès des utilisateurs externes des principales directions du client Définir les méthodes de déploiement des applications et le planning de déploiement détaillé, et s’assurer de leur bonne mise en œuvre Piloter la publication de ces applications sous Virtual Workplace Etre le point focal chez le client pour les directions : assurer la collecte et l’analyse de tous les éléments nécessaires afin de déployer les solutions de manière optimale Effectuer le suivi de projet : - Participer et/ou animer des réunions - Préparer les COPROJ et COPIL - Préparer les supports permettant le suivi de l’avancement du projet - Faire un point régulier d’avancement formalisé au sponsor - Anticiper les dérives ou risques, les remonter et proposer les plans d’action associés Vous collaborerez avec : - Les référent Virtual Workplace - Les référents des applications publiées dans Virtual Workplace - Les représentants IT des différentes directions - Les équipes RSSI - Les équipes infrastructures Compétences techniques requises Solides compétences en gestion de projets (Q,C,D) et en suivi d’activités techniques Expertise en pilotage de projet Animation de workshop Fort leadership et aisance orale permettant de faire passer des messages dans les instances à fort enjeux Connaissances IT nécessaires au bon déroulé de la mission Langues : Anglais obligatoire (rédaction documentaire) Profil et compétences : BAC+5 Maitrise de l’Anglais (lu, écrit, parlé) Un minimum de 5 ans d’expérience dans la gestion de projet IT, une expérience projet dans un contexte similaire serait un plus Solides compétences en gestion de projets Contexte : Mise en œuvre une solution Virtual Workplace basé sur une solution Citrix à destination d’utilisateurs internes et externes à l'organisation de notre client.","Seine-et-Marne, France","29k-200k €⁄an, 260-3k €⁄j",https://www.free-work.com/fr/tech-it/assistant-chef-de-projet/job-mission/chef-de-projet-virtual-workplace-h-f,"
      Freelance
     
      CDI
    "
