job-title,job-description-html,job-location,job-salary,job-url,job-type
"
      Expert sécurité des réseaux 
    ","<p><strong>Expert sécurité des réseaux </strong></p><p>L'Expert sécurité des réseaux participe à des projets importants et à forte visibilité auxquels il apporte son expertise pour cadrer et définir les architectures afin de respecter les standards définis par le socle réseau et Internet. Il participe également aux phases projets de construction et de mise en production des projets.</p><p>L'équipe étant garant du bon fonctionnement des infrastructures, </p><ul><li><p>Il devra avoir une expérience significative sur des activités de production (être capable de réaliser des analyses/troubleshoots sur des incidents de niveau 3, doit être en capacité d'accompagner/assister notre équipe d'exploitation de niveau 2...) </p></li><li><p>Pourra prendre en charge des projets d'accompagnement d'évolution des différentes filiales du groupe, ainsi que le traitement des obsolescences matérielles et logicielles tout en prenant en compte les contraintes de production de l'entreprise.</p></li></ul><p></p><p><strong>Expert sécurité des réseaux </strong></p><p>Compétences attendues :</p><ul><li><p>Firewalling (Fortinet et/ou Palo Alto Certification PCNSE appréciée)</p></li><li><p>Proxy OnPremise (Broadcom, FortiProxy) et dans le cloud (Netskope)</p></li><li><p>De la micro segmentation (NSX/Guardicore)</p></li></ul><p>LOMEGARD est une société de conseil spécialisée dans les métiers de l’IT qui propose trois offres transverses : PROJECT, SOFTWARE et INFRASTRUCTURE. <br>Nous accompagnons nos clients dans leurs projets de transformation digitale et d’innovations en créant un environnement de travail plus respectueux pour la planète.<br><br>Visitez notre site pour en savoir plus.</p>","Île-de-France, France",100-800 €⁄j,https://www.free-work.com/fr/tech-it/consultant-securite-et-reseaux/job-mission/expert-securite-des-reseaux,"
      Freelance
     
      CDI
     
      CDD
    "
"
      Administrateur Réseaux (H/F)
    ","<p>- Mener et Participer à la mise en production des changements sur l'infrastructure Réseau &amp; des équipements de sécurité: expérience avérée en firewalls - Palo Alto, Checkpoint et Forti fortement souhaitée,<br>- Assurer la cohérence technique du périmètre Infrastructure Réseaux avec d'autres périmètres (Services Cloud, Services sur des sites distants, ...),<br>- Participer à la mise en œuvre solutions d'architecture d'infrastructures Datacenter Réseau &amp; des équipements de sécurité (Services Firewall, Équipements Cœurs de<br>réseau) via notamment l'implémentation des exigences de sécurité.<br></p><p>Le profil a pour principales activités :<br>l’analyse des demandes d’ouverture de flux pour implémenter les règles sur les différents environnements techniques<br>l’ assistance aux demandeurs pour interconnecter via VPN Ipsec les partenaires<br>l'assistance aux demandeurs troubleshooter des problématiques de flux<br>l’assistance aux demandeurs dans leur demandes d’ouverture de flux<br><strong>Compétences techniques</strong></p><p>Sécurité : Filtrage avancé - Confirmé - Impératif<br>Réseau : WAN, LAN, WLAN - Confirmé - Impératif<br>Routage avancé OSPF, BGP, … - Junior - Important<br>Palo, Checkpoint, Forti, Cisco - Confirmé - Important</p><p>L’indépendance en toute sérénité ! Chez Anywr freelance, nous proposons à nos freelances, des missions longues chez nos clients sélectionnés pour répondre à leurs attentes. </p>","Lille, Hauts-de-France",100-350 €⁄j,https://www.free-work.com/fr/tech-it/administrateur-reseaux/job-mission/administrateur-reseaux-h-f-78,"
      Freelance
    "
"
      Expert N3 VPN 
    ","<p><u>Critères rédhibitoires de recevabilité :</u></p><ul><li><p>Connaissances des normes et des règles de sécurité Informatique et Télécommunication</p></li></ul><ul><li><p>Connaissances des composants d’infrastructure réseau LAN/WAN et sécurité (routeurs, commutateurs, firewall, QoS …)</p></li><li><p><strong>Très bonne connaissance des technologies VPN, du matériel Pulse Secure / IVANTI, VPN tunneling, hostchecker, auth radius / certificat, hardening, client ISAC y compris les protocoles, les méthodes d’authentification et les algorithmes de chiffrement</strong></p></li><li><p>Très bonnes connaissances des protocoles radius, LDAPS et fonctionnement certificats (SSL, auth et CRL)</p></li><li><p>Connaissances des équipements sécurité : Fortinet, Palo Alto, CheckPoint fortimanager, fortianalyser</p></li><li><p>Capacité de troubleshooting en cas d’incident/crise</p></li><li><p>Connaissances des équipements réseaux : Cisco et ARISTA</p></li></ul><ul><li><p>Expérience dans la documentation technique et la création de rapports</p></li></ul><p><u>Critères rédhibitoires de recevabilité :</u></p><ul><li><p>Connaissances des normes et des règles de sécurité Informatique et Télécommunication</p></li></ul><ul><li><p>Connaissances des composants d’infrastructure réseau LAN/WAN et sécurité (routeurs, commutateurs, firewall, QoS …)</p></li><li><p><strong>Très bonne connaissance des technologies VPN, du matériel Pulse Secure / IVANTI, VPN tunneling, hostchecker, auth radius / certificat, hardening, client ISAC y compris les protocoles, les méthodes d’authentification et les algorithmes de chiffrement</strong></p></li><li><p>Très bonnes connaissances des protocoles radius, LDAPS et fonctionnement certificats (SSL, auth et CRL)</p></li><li><p>Connaissances des équipements sécurité : Fortinet, Palo Alto, CheckPoint fortimanager, fortianalyser</p></li><li><p>Capacité de troubleshooting en cas d’incident/crise</p></li><li><p>Connaissances des équipements réseaux : Cisco et ARISTA</p></li></ul><ul><li><p>Expérience dans la documentation technique et la création de rapports</p></li></ul><p><u>Critères rédhibitoires de recevabilité :</u></p><ul><li><p>Connaissances des normes et des règles de sécurité Informatique et Télécommunication</p></li></ul><ul><li><p>Connaissances des composants d’infrastructure réseau LAN/WAN et sécurité (routeurs, commutateurs, firewall, QoS …)</p></li><li><p><strong>Très bonne connaissance des technologies VPN, du matériel Pulse Secure / IVANTI, VPN tunneling, hostchecker, auth radius / certificat, hardening, client ISAC y compris les protocoles, les méthodes d’authentification et les algorithmes de chiffrement</strong></p></li><li><p>Très bonnes connaissances des protocoles radius, LDAPS et fonctionnement certificats (SSL, auth et CRL)</p></li><li><p>Connaissances des équipements sécurité : Fortinet, Palo Alto, CheckPoint fortimanager, fortianalyser</p></li><li><p>Capacité de troubleshooting en cas d’incident/crise</p></li><li><p>Connaissances des équipements réseaux : Cisco et ARISTA</p></li></ul><ul><li><p>Expérience dans la documentation technique et la création de rapports</p></li></ul>","Nanterre, Île-de-France",100-510 €⁄j,https://www.free-work.com/fr/tech-it/expert/job-mission/expert-n3-vpn,"
      Freelance
    "
"
      Architecte Sécurité H/F
    ","<p>Dans le cadre projet d'évolution d'infrastructure, nous recherchons pour un de nos clients à Paris (75006) un <strong>Architecte Sécurité (H/F)</strong>.</p><p>Cette prestation concerne principalement la réalisation d’études d’évolution de l’infrastructure et de l’architecture de sécurité réseau autour de la technologie F5.</p><p>La mission se déroulera au sein de l’équipe en charge des évolutions des infrastructures de sécurité des réseaux, et le prestataire assurera l’expertise technique sur les fonctionnalitésF5 du client.</p><p>Celles-ci sont majoritairement portées par les technologies ADC (Application Delivery Center) :</p><ul><li><p>Equilibrage de charges</p></li><li><p>Reverse proxy</p></li><li><p>Filtrage divers en entrée du réseau</p></li><li><p>...</p></li></ul><p><u>Contexte d'intervention de l'architecte sécurité</u> :</p><ul><li><p><u>Architecture</u> : réalisation de Dossiers de Spécifications Détaillées (DSD) dans le cadre de projets d’infrastructures et de projets métiers.</p></li><li><p><u>Expert technique / Chef de Projet</u> : support N3 et pilotage des projets d’infrastructures (coordination, animation, reporting)</p></li></ul><p>Nous recherchons pour cela un profil de fortes expertises similaires :</p><ul><li><p>Conception et la mise en place les standards techniques</p></li><li><p>Conception et validation de l'architecture des infrastructures du système d'information.</p></li><li><p>Définition du socle technique qui répond aux exigences du SI</p></li><li><p>Evolution de l'architecture des infrastructures assurer l'intéropérabilité de toute nouvelle solution avec l'environnement existant</p></li></ul><p> </p><p><u>Technologies </u>: </p><ul><li><p><u>Routeur/Switch/Firewall</u> : Cisco (Nexus, Catalyst) Firewalls (Fortinet, Palo Alto)</p></li><li><p><u>Appliance</u> : F5 BIG IP</p></li><li><p><u>Protocoles réseaux</u> : (802.1, SSL/TLS, Radius, Nous recherchons pour cela un profil de fortes expertises similaires :</p><ul><li><p>Conception et la mise en place les standards techniques</p></li><li><p>Conception et validation de l'architecture des infrastructures du système d'information.</p></li><li><p>Définition du socle technique qui répond aux exigences du SI</p></li><li><p>Evolution de l'architecture des infrastructures assurer l'intéropérabilité de toute nouvelle solution avec l'environnement existant</p></li></ul><p> </p><p><u>Technologies </u>: </p><ul><li><p><u>Routeur/Switch/Firewall</u> : Cisco (Nexus, Catalyst) Firewalls (Fortinet, Palo Alto)</p></li><li><p><u>Appliance</u> : F5 BIG IP</p></li><li><p><u>Protocoles réseaux</u> : (802.1, SSL/TLS, Radius, OSPF, IGMP,...)</p></li><li><p><u>Logiciels</u> : Palo Alto Panorama, Fortinet Fortimanager, IGMP,...)</p></li></ul></li><li><p><u>Logiciels</u> : Palo Alto Panorama, Fortinet Fortimanager</p></li></ul>","Paris, France",470-750 €⁄j,https://www.free-work.com/fr/tech-it/administrateur-securite/job-mission/architecte-securite-h-f-21,"
      Freelance
     
      CDI
    "
"
       Ingénieur Réseau et Sécurité
    ","<p>L'ingénieur réseau et sécurité est chargé de garantir la performance, la stabilité et la sécurité des infrastructures réseau de l'entreprise. Ce rôle implique la conception, la mise en œuvre, la surveillance et la maintenance des systèmes de réseau et de sécurité informatique.</p><ul><li><p><strong>Conception et mise en œuvre des réseaux :</strong> Développer et déployer des architectures réseau robustes, y compris LAN, WAN, systèmes de pare-feu, et configurations VPN.</p></li><li><p><strong>Sécurité des réseaux :</strong> Mettre en place et gérer des solutions de sécurité telles que les pare-feu, l'anti-virus, les systèmes de prévention d'intrusion (IPS) et de détection d'intrusion (IDS).</p></li><li><p><strong>Surveillance et maintenance :</strong> Utiliser des outils de gestion de réseau pour surveiller les performances du réseau et identifier les problèmes de sécurité.</p></li><li><p><strong>Résolution des incidents :</strong> Diagnostiquer et résoudre les problèmes de réseau et de sécurité, et être capable d'intervenir rapidement en cas d'incident majeur.</p></li><li><p><strong>Mises à jour et améliorations :</strong> Appliquer des mises à jour régulières du matériel et des logiciels de sécurité pour protéger contre les vulnérabilités.</p></li><li><p><strong>Documentation technique :</strong> Rédiger et maintenir à jour la documentation des configurations de réseau, des procédures de sécurité et des politiques de conformité.</p></li></ul><ul><li><p><strong>Formation et certification :</strong> Diplôme en informatique, ingénierie des systèmes, sécurité des réseaux ou domaine connexe. Certifications professionnelles telles que CCNA, CCNP, CISSP, ou CISM sont un plus.</p></li><li><p><strong>Expérience en réseautique et sécurité :</strong> Expérience solide en configuration et gestion de réseau, pare-feu, VPN, IDS/IPS, et autres technologies de sécurité.</p></li><li><p><strong>Connaissance des protocoles :</strong> Maîtrise des protocoles de communication standard (TCP/IP, HTTP, etc.) et des meilleures pratiques de sécurité.</p></li><li><p><strong>Compétences en analyse et résolution de problèmes :</strong> Aptitude à identifier et à résoudre rapidement les problèmes de réseau et de sécurité.</p></li><li><p><strong>Habilité à travailler en équipe :</strong> Capacité à collaborer avec d'autres départements techniques et à communiquer efficacement les enjeux de sécurité.</p></li></ul><ul><li><p><strong>Rigueur et précision :</strong> Souci du détail et méthodologie rigoureuse dans la gestion des systèmes de sécurité.</p></li><li><p><strong>Proactivité :</strong> Anticipation des problèmes potentiels et suggestion de solutions innovantes pour améliorer la sécurité.</p></li><li><p><strong>Capacité d'adaptation :</strong> Aptitude à travailler dans un environnement en évolution rapide où les technologies et les menaces évoluent constamment.</p></li><li><p><strong>Communication :</strong> Excellentes compétences en communication, nécessaires pour expliquer les problèmes de sécurité et les solutions techniques aux non-spécialistes.</p></li></ul>","Annecy, Auvergne-Rhône-Alpes",100-380 €⁄j,https://www.free-work.com/fr/tech-it/ingenieur-en-cybersecurite/job-mission/ingenieur-reseau-et-securite-182,"
      Freelance
    "
"
      Profil Microsegmentation
    ","<p><strong>Responsabilités:</strong></p><ul><li><p>Participer à des projets impactant la sécurité des réseaux, en collaboration avec les chefs de projets et les architectes de sécurité.</p></li><li><p>Réaliser des changements tout en mesurant les impacts sur les systèmes existants.</p></li><li><p>Administrer les politiques de sécurité distribuées sur les différents firewalls du groupe, incluant le traitement des demandes d’ouverture de flux, la création de nouvelles bulles sécurisées, etc.</p></li><li><p>Suivre les recommandations relatives à la maîtrise du risque informatique, et participer aux réflexions sur l'optimisation des jeux de règles de firewall.</p></li><li><p>Contribuer à la mise en œuvre et à l'amélioration de la démarche qualité, et participer activement à la maintenance des processus de l'équipe.</p></li><li><p>Concevoir et mettre à jour les procédures de sécurité.</p></li><li><p>Participer aux ateliers de travail technique (workshops) avec les chefs de projets et les équipes de télécommunications.</p></li><li><p>Contribuer aux diagnostics de dysfonctionnements des réseaux en collaboration avec les équipes concernées.</p></li><li><p>Suivre les évolutions du parc de firewalls, et contribuer activement à la maintenance et à la maîtrise des processus de l'équipe.</p></li><li><p>Participer aux projets d'amélioration et de maintenance de l'existant, ainsi qu'au contrôle permanent.</p></li><li><p>Gérer la documentation technique et garantir le suivi des processus de sécurité.</p></li></ul><p><strong>Compétences et qualifications requises</strong></p><ul><li><p>Formation en informatique, en ingénierie des systèmes, ou dans un domaine connexe.</p></li><li><p>Compétences avérées en sécurité des systèmes et en développement Python.</p></li><li><p>Expérience dans la gestion de firewalls et des politiques de sécurité (Checkpoint, Palo Alto, etc.).</p></li><li><p>Capacité à monter rapidement en compétence sur les outils de sécurité, tels qu'Illumio.</p></li><li><p>Excellentes compétences en communication, pour interagir avec des équipes interfonctionnelles.</p></li><li><p>Capacité à travailler de manière autonome et à résoudre des problèmes complexes.</p></li></ul><p>Nous recherchons un ingénieur en microsegmentation pour rejoindre notre équipe de sécurité des réseaux. Le candidat idéal possède d'excellentes compétences en communication pour collaborer avec différentes parties prenantes et a la capacité d'acquérir rapidement des compétences sur des outils de sécurité comme Illumio. Il doit également avoir une base solide en sécurité, en systèmes et en développement Python.</p>","Montreuil, Île-de-France",380-550 €⁄j,https://www.free-work.com/fr/tech-it/autre/job-mission/ingenieur-en-microsegmentation,"
      Freelance
     
      CDI
    "
"
      Teach Lead Confirmé (H/F)
    ","<p>Notre client, un acteur majeur dans le secteur bancaire, souhaite accueillir un(e) Tech Lead Confirmé (H/F) au sein de son équipe de Rodez. <br>Cette opportunité résulte d'une expansion significative et d'un besoin de renforcer leurs infrastructures technologiques pour une mission longue.<br><br><br><br><br><br>Vos missions :<br><br><br>Intégré à une équipe dynamique, vous devrez :<br><br><br>- Gérer et maintenir l'infrastructure réseau de l'entreprise.<br>- Déployer, configurer et intégrer de nouveaux éléments réseau selon les besoins de l'entreprise.<br>- Participer à la conception, à l'implémentation et au support des solutions de sécurité réseau Fortinet.<br>- Collaborer avec d'autres équipes techniques pour résoudre les problèmes complexes de réseau.<br>- Contribuer à la documentation technique et aux processus de gestion des incidents.<br>- Fournir un support technique de niveau 3 pour tous les problèmes liés au réseau.<br><br><br> <br><br><br><br>Les compétences techniques :<br><br><br>- Diplôme en informatique, réseau ou dans un domaine connexe.<br>- Expérience préalable significative en N3/Intégration/Production réseau.<br>- Expertise en Fortinet (FortiProxy et/ou FortiGate).<br>- Connaissance des solutions de sécurité Netskope ou Checkpoint est un avantage.</p><p>De formation supérieure en informatique, vous avez une expérience réussie de minimum 2 ans sur des missions de niveau 3 et être en capacité de participer à la conception de l'architecture. Vous avez une capacité éprouvée à résoudre des problèmes complexes de réseau et possédez d'excellentes compétences en communication et en travail d'équipe.<br><br><br> <br><br><br><br>Les avantages :<br><br><br>TJM : 500 - 600EUR Jr/ht.<br>Possibilité de télétravail jusqu'à 3 jours par semaine.<br>Poste à pourvoir dès que possible (ASAP).<br><br><br> <br><br><br>Nous attendons votre candidature avec hâte. Nous apporterons le plus grand soin à vous apporter une réponse dans les meilleurs délais.</p><p>Link Consulting est un partenaire fiable pour nos nombreux clients PME, ETI, Grands Comptes au niveau national.<br>Avec nous, offrez à votre carrière de nouvelles perspectives : évolution, challenge, épanouissement professionnel. Grâce à sa structure dynamique et innovante, Link Consulting favorise l'initiative et la liberté d'entreprendre.<br><br><br>Avançons ensemble vers l'aventure qui vous anime.</p>","Rodez, Occitanie",500-600 €⁄j,https://www.free-work.com/fr/tech-it/lead-developer/job-mission/teach-lead-confirme-h-f,"
      Freelance
    "
"
      Chef de projet réseau (fortinet/ checkpoint) cloud (Aws)
    ","<p>Spécialisé dans le secteur de l’assurance l’entreprise recherche actuellement un chef de projet réseau cloud (fortinet/checkpoint/AWS) pour rejoindre ses effectifs sur son site à La Défense (92).</p><p></p><p>En tant que Chef de Projet réseau cloud (fortinet/checkpoint/AWS), vous serez responsable de la gestion et de la coordination des projets d’infrastructure  réseau (fortinet/checkpoint/AWS), en veillant à ce qu’ils soient exécutés dans les délais et les budgets impartis.</p><p></p><ul><li><p>Piloter de bout en bout des projets à dominante réseau (Zone transverse, modification d'architecture réseau, obsolescence Proxy et ACE...).</p></li><li><p>Challenger les propositions et accompagner les études et les projets par l'élaboration des architectures techniques et dossier d’exploitation tout au long du cycle de vie des projets, émettre des avis et des recommandations dans le cadre de leur gouvernance - méthodologie PRIMSE </p></li><li><p>Piloter et assurer les changements et les choix des infrastructures réseaux avec les Opérateurs et les infogérants.</p></li><li><p>Assurer un support de niveau 3 des Réseaux Dalkia sur le périmètre Datacenter</p><p></p></li></ul><ul><li><p>Suivi Incidents dans la chaîne ITSM </p></li><li><p>Mises à jour assurées pour éradiquer les risques de sécurité</p></li><li><p>Les obsolescences soft et hardware des équipements périmètre Datacenter.</p></li><li><p>Participer à une veille technologique des évolutions Réseau</p></li></ul><p></p><ul><li><p>Planifier, organiser et superviser les projets d’infrastructure, système réseau et sécurité)</p></li><li><p>Coordonner les différentes équipes impliquées dans les projets</p></li><li><p>Gérer les budgets alloués aux projets et s’assurer de leur bonne utilisation</p></li><li><p>Collaborer avec les parties prenantes internes et externes pour assurer une communication fluide</p></li><li><p>Fournir des rapports réguliers sur l’avancement des projets informatiques (fortinet/checkpoint/AWS)</p></li></ul><p></p><p><strong><u>Skills</u></strong> : Coordination transversale · Gestion de projet · Gestion du stress · Diplomatie · Cycle V · Méthodes PRISME · Serveur Windows · Linux · Travail d’équipe · Leadership · VMware vSphere · Infrastructure VMware · firewall fortinet et juniper · Anglais</p><p><strong><u>Environnement</u></strong> : AWS –  Planisware – ITSM – JIRA confluence – Tufin – IBM Security QRadar SIEM – SQUID – Citrix Netscaler VPX – Juniper srx1500, srx4100, srx550 – FortiGate 600D, 300E, 200D.<br></p><p>A ce titre, vos missions seront les suivantes:</p><p>- Planifier, organiser et superviser les projets d’infrastructure réseau cloud (fortinet/checkpoint/AWS)</p><p>- Coordonner les différentes équipes impliquées dans les projets</p><p>- Gérer les budgets alloués aux projets et s’assurer de leur bonne utilisation</p><p>- Collaborer avec les parties prenantes internes et externes pour assurer une communication fluide</p><p>- Fournir des rapports réguliers sur l’avancement des projets informatiques (fortinet/checkpoint/AWS)</p><p></p><p></p><p>De formation Bac + 3/5 vous avez une expérience significative sur un poste similaire et vous avez une excellente maîtrise sur la partie infrastructure système réseau et sécurité </p><p></p><p>Qualifications :</p><p>- Expérience préalable en gestion de projets d’infrastructure informatique (fortinet/checkpoint/AWS)</p><p>- Compétences en gestion d’équipe et capacité à motiver les membres de l’équipe</p><p>- Excellentes compétences en communication écrite et verbale</p><p>- Capacité à travailler sous pression et à respecter les délais</p><p>Compétences requises :</p><p>- Expérience dans la gestion de projets d’infrastructure (fortinet/checkpoint/AWS)</p><p>- Maîtrise des outils informatiques liés à la gestion de projet</p><p>Qualifications :</p><p>- Expérience préalable en gestion de projets d’infrastructure informatique (fortinet/checkpoint/AWS)</p><p>- Compétences en gestion d’équipe et capacité à motiver les membres de l’équipe</p><p>- Excellentes compétences en communication écrite et verbale</p><p>- Capacité à travailler sous pression et à respecter les délais</p><p>Compétences requises :</p><p>- Expérience dans la gestion de projets d’infrastructure (fortinet/checkpoint/AWS)</p><p>- Maîtrise des outils informatiques liés à la gestion de projet</p>","La Défense, Île-de-France",100-550 €⁄j,https://www.free-work.com/fr/tech-it/ingenieur-devops/job-mission/chef-de-projet-reseau-fortinet-checkpoint-cloud-aws,"
      CDI
     
      Freelance
    "
"
      Administrateur SIEM/SOAR
    ","<p><strong>Description de la mission</strong></p><p>Evolution dans un environnement international</p><ul><li><p>Design de Solutions - Conception et mise en place de SIEM</p></li><li><p>Maintien en conditions opérationnelles et de sécurité des différentes solutions de sécurité</p></li><li><p>Supervision et intervention sur les incidents de production</p></li><li><p>Support aux équipes projets sur des points complexes relevant de votre domaine de compétence</p></li><li><p>Mise en œuvre de solutions d’automatisation</p></li><li><p>Application et développement des bonnes pratiques métier et de sécurité</p></li></ul><p>Amélioration continue des outils et des processus</p><p></p><p></p><p><strong>Compétences techniques et fonctionnelles</strong></p><p></p><ul><li><p>Administration SIEM : Splunk, QRadar, MS Azure Sentinel </p></li><li><p>Administration orchestration SOAR (Palo Alto, Splunk) </p></li><li><p>Administration système Linux (Ubuntu, CentOS) </p></li><li><p>Architecture technique et fonctionnelle </p></li><li><p>Design de solutions </p></li><li><p>Automatisation : Ansible, Docker, Terraform </p></li><li><p>Supervision : Centreon, Zabbix </p></li><li><p>Scripting : Python, Bash, html </p></li><li><p>Solutions Backup/Restore </p></li></ul><p>Architecture technique </p><p></p><p><strong>Localisation</strong></p><p>1 profil à Toulouse</p><p>1 profil à Paris / Noisy Le Grand</p><p><strong>Description de la mission</strong></p><p>Evolution dans un environnement international</p><ul><li><p>Design de Solutions - Conception et mise en place de SIEM</p></li><li><p>Maintien en conditions opérationnelles et de sécurité des différentes solutions de sécurité</p></li><li><p>Supervision et intervention sur les incidents de production</p></li><li><p>Support aux équipes projets sur des points complexes relevant de votre domaine de compétence</p></li><li><p>Mise en œuvre de solutions d’automatisation</p></li><li><p>Application et développement des bonnes pratiques métier et de sécurité</p></li></ul><p>Amélioration continue des outils et des processus</p><p></p><p></p><p><strong>Compétences techniques et fonctionnelles</strong></p><p></p><ul><li><p>Administration SIEM : Splunk, QRadar, MS Azure Sentinel </p></li><li><p>Administration orchestration SOAR (Palo Alto, Splunk) </p></li><li><p>Administration système Linux (Ubuntu, CentOS) </p></li><li><p>Architecture technique et fonctionnelle </p></li><li><p>Design de solutions </p></li><li><p>Automatisation : Ansible, Docker, Terraform </p></li><li><p>Supervision : Centreon, Zabbix </p></li><li><p>Scripting : Python, Bash, html </p></li><li><p>Solutions Backup/Restore </p></li></ul><p>Architecture technique </p><p></p><p><strong>Localisation</strong></p><p>1 profil à Toulouse</p><p>1 profil à Paris / Noisy Le Grand</p><p><strong>Description de la mission</strong></p><p>Evolution dans un environnement international</p><ul><li><p>Design de Solutions - Conception et mise en place de SIEM</p></li><li><p>Maintien en conditions opérationnelles et de sécurité des différentes solutions de sécurité</p></li><li><p>Supervision et intervention sur les incidents de production</p></li><li><p>Support aux équipes projets sur des points complexes relevant de votre domaine de compétence</p></li><li><p>Mise en œuvre de solutions d’automatisation</p></li><li><p>Application et développement des bonnes pratiques métier et de sécurité</p></li></ul><p>Amélioration continue des outils et des processus</p><p></p><p></p><p><strong>Compétences techniques et fonctionnelles</strong></p><p></p><ul><li><p>Administration SIEM : Splunk, QRadar, MS Azure Sentinel </p></li><li><p>Administration orchestration SOAR (Palo Alto, Splunk) </p></li><li><p>Administration système Linux (Ubuntu, CentOS) </p></li><li><p>Architecture technique et fonctionnelle </p></li><li><p>Design de solutions </p></li><li><p>Automatisation : Ansible, Docker, Terraform </p></li><li><p>Supervision : Centreon, Zabbix </p></li><li><p>Scripting : Python, Bash, html </p></li><li><p>Solutions Backup/Restore </p></li></ul><p>Architecture technique </p><p></p><p><strong>Localisation</strong></p><p>1 profil à Toulouse</p><p>1 profil à Paris / Noisy Le Grand</p>","Toulouse, Occitanie",100-360 €⁄j,https://www.free-work.com/fr/tech-it/administrateur-bdd/job-mission/administrateur-siem-soar,"
      Freelance
    "
"
      Expert sécurité des réseaux 
    ","<p><strong>Expert sécurité des réseaux </strong></p><p>L'Expert sécurité des réseaux participe à des projets importants et à forte visibilité auxquels il apporte son expertise pour cadrer et définir les architectures afin de respecter les standards définis par le socle réseau et Internet. Il participe également aux phases projets de construction et de mise en production des projets.</p><p>L'équipe étant garant du bon fonctionnement des infrastructures,</p><ul><li><p>Il devra avoir une expérience significative sur des activités de production (être capable de réaliser des analyses/troubleshoots sur des incidents de niveau 3, doit être en capacité d'accompagner/assister notre équipe d'exploitation de niveau 2...)</p></li><li><p>Pourra prendre en charge des projets d'accompagnement d'évolution des différentes filiales du groupe, ainsi que le traitement des obsolescences matérielles et logicielles tout en prenant en compte les contraintes de production de l'entreprise.</p></li></ul><p></p><p><strong>Expert sécurité des réseaux </strong></p><p>Compétences attendues :</p><ul><li><p>Firewalling (Fortinet et/ou Palo Alto Certification PCNSE appréciée)</p></li><li><p>Proxy OnPremise (Broadcom, FortiProxy) et dans le cloud (Netskope)</p></li><li><p>De la micro segmentation (NSX/Guardicore)</p></li></ul><p>LOMEGARD est une société de conseil spécialisée dans les métiers de l’IT qui propose trois offres transverses : PROJECT, SOFTWARE et INFRASTRUCTURE. <br>Nous accompagnons nos clients dans leurs projets de transformation digitale et d’innovations en créant un environnement de travail plus respectueux pour la planète.<br><br>Visitez notre site pour en savoir plus.</p>","Aveyron, France",100-800 €⁄j,https://www.free-work.com/fr/tech-it/consultant-securite-et-reseaux/job-mission/expert-securite-des-reseaux-1,"
      Freelance
     
      CDI
     
      CDD
    "
